Артикул	Наименование	Раздел	Код	ОПТОВАЯ ЦЕНА руб.	РОЗНИЧНАЯ ЦЕНА руб.	Вес общий (кг)	Размер (ШхВхГ) мм 	Ширина изделия мм	Высота изделия мм	Глубина изделия мм	Материал	Цвет	Ширина в коробке мм	Высота в коробке мм	Глубина в коробке мм	Штрихкод	Отверстие для смесителя 	Переливное отверстие	Форма чаши 	Вариант установки 	Производитель 	Гарантия	Описание	URL страницы детального просмотра	Фото 0	Фото 1	Фото 2	Фото 3	Фото 4 	Фото 5	Фото 6	Фото 7	Фото 8	Фото 9	Фото 10	Схема
00004148750	COMFORTY. Раковина 102	Раковины	102	4 620р.	6 460р.	6,5	358x137x358	358	137	358	Санфарфор	Белый	515	430	455	4630015258064	Нет	Нет	Круглая	Раковина-чаша	Comforty	Гарантийный срок 5 лет	Материал: санитарный фарфор Габаритные размеры ШхВхГ: 358*137*358 мм Цвет: белый Вес - 6.5 кг.  Способ установки: накладная Форма чаши: круглая Материал: санфарфор Переливное отверстие: нет Отверстие под смеситель: нет Назначение: мебельный умывальник для установки на тумбу или столешницу.  Указанные предельные отклонения в размерах на раковинах варьируются от +/- 25 мм  	https://www.comforty.ru/catalog/umyvalniki/40sm/rakovina-chasha-comforty-102/	https://www.comforty.ru/upload/iblock/83a/83a8158c39a8056aad5db39791bfafcc.jpg	https://www.comforty.ru/upload/iblock/bf8/bf87ca3c9c2cf2d6933ea6335d24990b.jpg	https://www.comforty.ru/upload/iblock/adc/adc89263b3d5b14a450712597ab5e3d9.jpg	https://www.comforty.ru/upload/iblock/dd3/dd3a1a7ba3664dd0ba152f17873e2b64.jpg	https://www.comforty.ru/upload/iblock/ca5/ca5315e1c546427f27c4f26099ea7258.jpg	https://www.comforty.ru/upload/iblock/495/495a807015d4f9759a7e4a6d5ecdb2cb.jpg	https://www.comforty.ru/upload/iblock/dda/ddaa351c47c0c0427a32ee0031118d37.jpg	https://www.comforty.ru/upload/iblock/4e9/4e98376e92e363f0ddd369feaf67c771.jpg	-	-		https://www.comforty.ru/upload/iblock/312/3126273ce8eac02b0906b409d2ac85bb.jpg
00004148755	COMFORTY. Раковина 103 MB черная матовая	Раковины	103MB	6 300р.	8 810р.	6,5	358x137x358	358	137	358	Санфарфор	Черный	385	170	385	4630015258118	Нет	Нет	Круглая	Раковина-чаша	Comforty	Гарантийный срок 5 лет	Материал: санитарный фарфор Габаритные размеры ШхВхГ: 358*137*358 мм Цвет: черный матовый Вес - 6.5 кг.  Способ установки: накладная Форма чаши: круглая Материал: санфарфор Переливное отверстие: нет Отверстие под смеситель: нет Назначение: мебельный умывальник для установки на тумбу или столешницу. Внешняя поверхность чаши декорирована горизонтальными линиями.  Указанные предельные отклонения в размерах на раковинах варьируются от +/- 25 мм  	https://www.comforty.ru/catalog/umyvalniki/40sm/rakovina-chasha-comforty-103mb/	https://www.comforty.ru/upload/iblock/0cc/0cc64f8f2ea659d9c390ae4ecae95b15.jpg	https://www.comforty.ru/upload/iblock/3c9/3c9831bad23c29c2657e63ee91af3d22.jpg	https://www.comforty.ru/upload/iblock/6d6/6d6f64d23fbea7c31f0ab7e3d37c0350.jpg	https://www.comforty.ru/upload/iblock/30b/30b431c4ec29c4f6bc9f5f519c9f3a7f.jpg	-	-	-	-	-	-		https://www.comforty.ru/upload/iblock/e05/e056bc2525d4baa7cc5eccea6f643533.jpg
00004150372	COMFORTY. Раковина 104	Раковины	104	5 320р.	7 440р.	7,2	415x155x415	415	155	415	Санфарфор	Белый	440	180	440	4630015258668	Нет	Нет	Круглая	Раковина-чаша	Comforty	Гарантийный срок 5 лет	Материал: санитарный фарфор Габаритные размеры ШхВхГ: 415*155*415 мм Цвет: белый Вес - 7,2 кг.  Способ установки: накладная Форма чаши: круглая Материал: санфарфор Переливное отверстие: нет Отверстие под смеситель: нет Назначение: мебельный умывальник для установки на тумбу или столешницу.  Указанные предельные отклонения в размерах на раковинах варьируются от +/- 25 мм  	https://www.comforty.ru/catalog/umyvalniki/40sm/rakovina-chasha-comforty-104/	https://www.comforty.ru/upload/iblock/865/86517ec886b62579b946ac397183e93c.jpg	https://www.comforty.ru/upload/iblock/b5b/b5b81a92ed5a5cf8efe73e66214fcc94.jpg	https://www.comforty.ru/upload/iblock/b27/b278fdd123f7b1ea50a2f64326b435f9.jpg	-	-	-	-	-	-	-		https://www.comforty.ru/upload/iblock/872/872c5b09a89d20ca0aa17ed8a7b00b92.jpg
00004150370	COMFORTY. Раковина 107	Раковины	107	4 620р.	6 460р.	6,2	358x137x358	358	137	358	Санфарфор	Белый	385	180	385	4630015258644	Нет	Нет	Круглая	Раковина-чаша	Comforty	Гарантийный срок 5 лет	Материал: санитарный фарфор Габаритные размеры ШхВхГ: 358*155*358 мм Цвет: белый Вес - 6.2 кг.  Способ установки: накладная Форма чаши: круглая Материал: санфарфор Переливное отверстие: нет Отверстие под смеситель: нет Назначение: мебельный умывальник для установки на тумбу или столешницу.  Указанные предельные отклонения в размерах на раковинах варьируются от +/- 25 мм  	https://www.comforty.ru/catalog/umyvalniki/40sm/rakovina-chasha-comforty-107/	https://www.comforty.ru/upload/iblock/e1f/e1faee2e4ff425d29d97f24434acf70b.jpg	https://www.comforty.ru/upload/iblock/579/57917207a225ea92a68304e6822d1927.jpg	https://www.comforty.ru/upload/iblock/248/24834aa028fa87f8dc19a9a679fdedd0.jpg	https://www.comforty.ru/upload/iblock/9f9/9f9dbc81486ef47a48a32c2f3f8a01e3.jpg	https://www.comforty.ru/upload/iblock/068/0684754eeb9ca3eaab98bb0ae3e458c5.jpg	https://www.comforty.ru/upload/iblock/51c/51c4f2f69b26f0bd4ca572b207caf54c.jpg	https://www.comforty.ru/upload/iblock/8bf/8bf930c54e5e281be6caf8185d61ef25.jpg	https://www.comforty.ru/upload/iblock/940/9402c95379a4295f18a9d845662e996b.jpg	-	-		https://www.comforty.ru/upload/iblock/3b9/3b9a1a00c9f0f954545379508d74d395.jpg
00004150371	COMFORTY. Раковина 107 MB черная матовая	Раковины	107MB	8 130р.	11 360р.	6,2	358x137x358	358	137	358	Санфарфор	Черный	385	180	385	4630015258651	Нет	Нет	Круглая	Раковина-чаша	Comforty	Гарантийный срок 5 лет	Материал: санитарный фарфор Габаритные размеры ШхВхГ: 358*155*358 мм Цвет: черный матовый Вес - 6.2 кг.  Способ установки: накладная Форма чаши: круглая Материал: санфарфор Переливное отверстие: нет Отверстие под смеситель: нет Назначение: мебельный умывальник для установки на тумбу или столешницу.  Указанные предельные отклонения в размерах на раковинах варьируются от +/- 25 мм  	https://www.comforty.ru/catalog/umyvalniki/40sm/rakovina-chasha-comforty-107mb/	https://www.comforty.ru/upload/iblock/2c5/2c5ee24fd3dc873809527d5494888c0a.jpg	https://www.comforty.ru/upload/iblock/ad4/ad44b4a7456f2161931fa5417d4e2d89.jpg	https://www.comforty.ru/upload/iblock/91d/91d2d35e052d927ca7f813e449e5ea73.jpg	https://www.comforty.ru/upload/iblock/bb5/bb5c6d825e2f2eddd7ac4108d1c3d114.jpg	https://www.comforty.ru/upload/iblock/3e8/3e819be6b585e4c80be7d33c321069f7.jpg	https://www.comforty.ru/upload/iblock/91d/91d29dbbe07fb5b6acc27695f8493186.jpg	-	-	-	-		https://www.comforty.ru/upload/iblock/f19/f195a648f68a754823f47e1f067c1d3e.jpg
00004148151	COMFORTY. Раковина 7078A	Раковины	7078A	5 190р.	7 250р.	10	405x150x405	405	150	405	Санфарфор	Белый	430	170	430	4630015257845	Нет	Нет	Круглая	Раковина-чаша	Comforty	Гарантийный срок 5 лет	Материал: санитарный фарфор Габаритные размеры ШхВхГ: 405*150*405 мм Цвет: белый Вес - 10 кг.  Способ установки: накладная Форма чаши: круглая Материал: санфарфор Переливное отверстие: нет Отверстие под смеситель: нет Назначение: мебельный умывальник для установки на тумбу или столешницу.  Указанные предельные отклонения в размерах на раковинах варьируются от +/- 25 мм	https://www.comforty.ru/catalog/umyvalniki/40sm/rakovina-chasha-comforty-7078a/	https://www.comforty.ru/upload/iblock/905/905b0d85479496aa49b82735bf5e0972.jpg	https://www.comforty.ru/upload/iblock/39c/39cd7e371dc91eddc0f9927a1aa9bf1b.jpg	https://www.comforty.ru/upload/iblock/23b/23bbeed3045c3ebed34f548eea14901d.jpg	https://www.comforty.ru/upload/iblock/f0f/f0fa9cb45fe0bb86f9c0bdca780e378a.jpg	https://www.comforty.ru/upload/iblock/9a5/9a512b8193103ac9c496632df42f4988.jpg	https://www.comforty.ru/upload/iblock/201/201780d309d6a18c08f4c0daa280c724.jpg	-	-	-	-		https://www.comforty.ru/upload/iblock/8e5/8e5ebdb443c20ec13769c523603ed170.jpg
00004139799	COMFORTY. Раковина 7078ABW черный/белый	Раковины	7078ABW	6 450р.	9 010р.	8	405x150x405	405	150	405	Санфарфор	Черный	430	170	430	4630015255124	Нет	Нет	Круглая	Раковина-чаша	Comforty	Гарантийный срок 5 лет	Материал: санитарный фарфор Габаритные размеры ШхВхГ: 405*150*405 мм Цвет: черный/белый Вес - 10 кг.  Способ установки: накладная Форма чаши: круглая Материал: санфарфор Переливное отверстие: нет Отверстие под смеситель: нет Назначение: мебельный умывальник для установки на тумбу или столешницу.  Указанные предельные отклонения в размерах на раковинах варьируются от +/- 25 мм	https://www.comforty.ru/catalog/umyvalniki/40sm/rakovina-chasha-comforty-7078abw/	https://www.comforty.ru/upload/iblock/00a/00a40d814f9dd1a8d243b85fbd4bd9bc.jpg	https://www.comforty.ru/upload/iblock/521/52164300fabe1408cfca810addf1d03f.jpg	https://www.comforty.ru/upload/iblock/885/8858fd3ba76efb4de679d14be450febf.jpg	https://www.comforty.ru/upload/iblock/34e/34ece73b3d5c9cffd3943c9d707a8c3f.jpg	https://www.comforty.ru/upload/iblock/49e/49ef4ad640720df64b46ce447063638f.jpg	https://www.comforty.ru/upload/iblock/ed9/ed9d2d8f9525b631ce2885dbf12dc55f.jpg	-	-	-	-		https://www.comforty.ru/upload/iblock/1e4/1e4994a3f19789b985c06c957c1f10b7.jpg
00004148153	COMFORTY. Раковина 7138	Раковины	7138	4 420р.	6 170р.	6	410x145x330	410	145	330	Санфарфор	Белый	435	180	355	4630015257821	Нет	Нет	Овальная	Раковина-чаша	Comforty	Гарантийный срок 5 лет	Материал: санитарный фарфор Габаритные размеры ШхВхГ: 410*145*330 мм Цвет: белый Вес - 6 кг.  Способ установки: накладная раковина чаша Форма чаши: овальная Материал: санфарфор Переливное отверстие: нет Отверстие под смеситель: нет Назначение: мебельный умывальник для установки на тумбу или столешницу.  Указанные предельные отклонения в размерах на раковинах варьируются от +/- 25 мм	https://www.comforty.ru/catalog/umyvalniki/40sm/rakovina-chasha-comforty-7138/	https://www.comforty.ru/upload/iblock/24f/24f8528f6158f5c9b240e1acf35c420b.jpg	https://www.comforty.ru/upload/iblock/05a/05ad6230a4696c9c446f50e81bc781f8.jpg	https://www.comforty.ru/upload/iblock/dbd/dbdf6ed0f78dfd10b91f502072f4623d.jpg	https://www.comforty.ru/upload/iblock/358/35892320557e8004288177c6c59ec167.jpg	https://www.comforty.ru/upload/iblock/091/09187a8eb1822961cd4194e524eded34.jpg	https://www.comforty.ru/upload/iblock/d44/d4427ae5907206c2c7e2af489111c3a8.jpg	-	-	-	-		https://www.comforty.ru/upload/iblock/0d9/0d96846057ad5610116c4db74be2ff1d.jpg
00004148154	COMFORTY. Раковина 7138BW черно/белая	Раковины	7138BW	6 730р.	9 400р.	6	410x145x330	410	145	330	Санфарфор	Черный	435	180	355	4630015257838	Нет	Нет	Овальная	Раковина-чаша	Comforty	Гарантийный срок 5 лет	Материал: санитарный фарфор Габаритные размеры ШхВхГ: 410*145*330 мм Цвет: черно-белый Вес - 6 кг.  Способ установки: накладная раковина чаша Форма чаши: овальная Материал: санфарфор Переливное отверстие: нет Отверстие под смеситель: нет Назначение: мебельный умывальник для установки на тумбу или столешницу.  Указанные предельные отклонения в размерах на раковинах варьируются от +/- 25 мм	https://www.comforty.ru/catalog/umyvalniki/40sm/rakovina-chasha-comforty-7138bw/	https://www.comforty.ru/upload/iblock/c40/c408ef6f61db195bed7a8f318a8b9724.jpg	0	-	-	-	-	-	-	-	-		https://www.comforty.ru/upload/iblock/e6d/e6da3f6ec7875d1b9d5e246270107d8e.jpg
00004137209	COMFORTY. Раковина 7689	Раковины	7689	6 590р.	9 210р.	10	600x150x380	600	150	380	Санфарфор	Белый	635	190	405	4630015253984	Нет	Нет	Овальная	Раковина-чаша	Comforty	Гарантийный срок 5 лет	Материал: санитарный фарфор Габаритные размеры ШхВхГ: 600*150*380 Цвет: белый Вес - 10 кг.  Способ установки: накладная Форма чаши: овальная Материал: санфарфор Переливное отверстие: нет Отверстие под смеситель: нет Назначение: мебельный умывальник для установки на тумбу или столешницу.  Указанные предельные отклонения в размерах на раковинах варьируются от +/- 25 мм	https://www.comforty.ru/catalog/umyvalniki/50-60sm/rakovina-chasha-comforty-7689/	https://www.comforty.ru/upload/iblock/799/7993e08371cf2252625cd9694b454cca.jpg	https://www.comforty.ru/upload/iblock/50c/50c6627d2e152bb772142d892a649702.jpg	https://www.comforty.ru/upload/iblock/619/6199de6561b1ffb7c7c2a3b5cef065c7.jpg	https://www.comforty.ru/upload/iblock/dba/dba63a5d784386fd006bcf02b79637de.jpg	https://www.comforty.ru/upload/iblock/fbe/fbe8418f54db149ae30b092e0288ea92.jpg	https://www.comforty.ru/upload/iblock/1ee/1eed5e106d7f299fba3f6d21f6489b78.jpg	https://www.comforty.ru/upload/iblock/c8c/c8cab60092e33353ee9bcd10e4dd5814.jpg	-	-	-		https://www.comforty.ru/upload/iblock/29e/29e0827620a1ef1f3c6224a2afb3b2ed.jpg
