Артикул	Бренд	Категория	Наименование	ОПТОВАЯ ЦЕНА руб.	РОЗНИЧНАЯ ЦЕНА руб.	Вес общий (кг)	Размер (ШхВхГ) мм 	Ширина в коробке мм	Высота в коробке мм	Глубина в коробке мм	Материал	Цвет	Тип чаши	Тип конструкции	Тип выпуска	Тип смыва в чаше	Сиденье	Межосевое расстояние под шпильки мм.	Наличие микролифта 	Безободковые 	Гарантия	Штрихкод	Описание	URL страницы детального просмотра	Фото 0	Фото 1	Фото 2	Фото 3	Фото 4	Фото 5	Фото 6	Фото 7	Схема 
00004150343	Comforty	Унитазы	COMFORTY. Подвесное биде 103-1B	8 890р.	12 420р.	21,5	370х325х480	500	410	460	Санфарфор	Белый	Овальная	Подвесной				180			Гарантийный срок 5 лет	4630015258965	Материал: Санфарфор Габаритные размеры (мм) ШхВхГ: 370*325*480 Монтаж: подвесной Форма чаши - овальная С одним отверстием под смеситель 	https://www.comforty.ru/catalog/unitazy/bide-comforty-103-1b/	https://www.comforty.ru/upload/iblock/3da/3da54ff1a446cdf3d82b2915e0c5aa94.jpg	https://www.comforty.ru/upload/iblock/ee6/ee6b5c9df2e970b0c8b2e72f703405fe.jpg							https://www.comforty.ru/upload/iblock/8bc/8bc70bf8f73edd252d61f37685b51af5.jpg
00-00003086	Comforty	Унитазы	COMFORTY. Унитаз подвесной 103, безободковый, сиденье дюропласт softclose тонкое, быстросъёмное	11 920р.	16 670р.	28,18	370х370х480	500	410	460	Санфарфор	Белый	Овальная	Подвесной	Горизонтальный	Душивой	Дюропласт	180	Да	Унитазы без ободка	Гарантийный срок 5 лет, на крышку-сиденье 1 год	4630015258996	Цвет: Белый Материал: cанфарфор  Габаритные размеры (мм) ШхВхГ: 370*370*480 Выпуск: горизонтальный Монтаж: подвесной Сиденье-крышка: быстросъемное, дюропласт с системой микролифт Soft Close, быстросъемное  Комплект поставки : унитаз подвесной с сиденьем, комплект креплений Форма чаши: Овальная  Безободковый подвесной унитаз Comforty 103 с антибактериальной легкосъемной крышкой-сиденьем с функцией плавного закрывания. Безободковая конструкция чаши обеспечивает высочайший уровень гигиены и удобство в уборке из-за отсутствия труднодоступных мест.	https://www.comforty.ru/catalog/unitazy/unitaz-podvesnoy-comforty-103-bezobodkovyy/	https://www.comforty.ru/upload/iblock/140/14099e3609db9fbbcc49318c14182f31.jpg	https://www.comforty.ru/upload/iblock/c65/c65639dedf4cebaa200353e20080961e.jpg	https://www.comforty.ru/upload/iblock/f0f/f0f77e4c5ddf9dead31643337be50205.jpg	https://www.comforty.ru/upload/iblock/bcd/bcd453347c6d90efd60d9dee0fdab6fc.jpg	https://www.comforty.ru/upload/iblock/97d/97db5421a4ef504a05a4933a7681fc4f.jpg				https://www.comforty.ru/upload/iblock/200/200b8f085e9d02a7ef253ed86868b1b2.jpg
00-00007646	Comforty	Унитазы	COMFORTY. Унитаз подвесной 105 безободковый, сиденье дюропласт softclose тонкое, быстросъёмное	11 920р.	16 670р.	26,5	365х360х480	500	410	460	Санфарфор	Белый	Овальная	Подвесной	Горизонтальный	Душивой	Дюропласт	180	Да	Унитазы без ободка	Гарантийный срок 5 лет, на крышку-сиденье 1 год	4630100141462	Цвет: Белый Материал: cанфарфор  Габаритные размеры (мм) ШхВхГ: 370*370*480 Выпуск: горизонтальный Монтаж: подвесной Сиденье-крышка: быстросъемное, дюропласт с системой микролифт Soft Close, быстросъемное  Комплект поставки : унитаз подвесной с сиденьем, комплект креплений Форма чаши: Овальная  Безободковый подвесной унитаз Comforty 105 с антибактериальной легкосъемной крышкой-сиденьем с функцией плавного закрывания. Безободковая конструкция чаши обеспечивает высочайший уровень гигиены и удобство в уборке из-за отсутствия труднодоступных мест.	https://www.comforty.ru/catalog/unitazy/unitaz-podvesnoy-comforty-105-bezobodkovyy-belyy/	https://www.comforty.ru/upload/iblock/8cf/8cfe3a5ffeb91e8720a601c2307d5e58.jpg	https://www.comforty.ru/upload/iblock/831/t0z1nrj24ioebdo67652t2gqke0vxh2l.jpg	https://www.comforty.ru/upload/iblock/3ae/tu6ryvbjpmf0oq831isarcwkv8qngwox.jpg	https://www.comforty.ru/upload/iblock/647/obrrh2r5f9hv6wuft4b0q08rcv7pe14e.jpg	https://www.comforty.ru/upload/iblock/a6b/18nf69ywzi60v3wqy6yctubnlulmhnwi.jpg	https://www.comforty.ru/upload/iblock/c29/1tjdq8w5du05zqo371kb6v33lqt4born.jpg			https://www.comforty.ru/upload/iblock/7d9/7d97a4b829fc79169fd5d0c8730e74a3.jpg
00-00007650	Comforty	Унитазы	COMFORTY. Унитаз подвесной 105MB безободковый, сиденье дюропласт softclose тонкое, быстросъёмное (чёрный матовый)	20 680р.	28 920р.	26,5	365х360х481	500	410	460	Санфарфор	Черный матовый	Овальная	Подвесной	Горизонтальный	Душивой	Дюропласт	180	Да	Унитазы без ободка	Гарантийный срок 5 лет, на крышку-сиденье 1 год	4630100141509	Цвет: Черный матовый Материал: cанфарфор  Габаритные размеры (мм) ШхВхГ: 370*370*480 Выпуск: горизонтальный Монтаж: подвесной Сиденье-крышка: быстросъемное, дюропласт с системой микролифт Soft Close, быстросъемное  Комплект поставки : унитаз подвесной с сиденьем, комплект креплений Форма чаши: Овальная  Безободковый подвесной унитаз Comforty 105МВ с антибактериальной легкосъемной крышкой-сиденьем с функцией плавного закрывания. Безободковая конструкция чаши обеспечивает высочайший уровень гигиены и удобство в уборке из-за отсутствия труднодоступных мест.	https://www.comforty.ru/catalog/unitazy/unitaz-podvesnoy-comforty-105mb-bezobodkovyy/	https://www.comforty.ru/upload/iblock/bd8/bd88bd8ca376b2f81a6d0e050e2cdf18.jpg	https://www.comforty.ru/upload/iblock/8ca/34477vhkpdr8hmv41yq8lhyax3ma3a4t.jpg	https://www.comforty.ru/upload/iblock/c7f/46luxxjmjpgvrzmbqw7kfypqu77ncv5e.jpg	https://www.comforty.ru/upload/iblock/27a/jnkn8j50d5hi7nr37uy174hths5s6vnz.jpg	https://www.comforty.ru/upload/iblock/d79/mkq97h59wdmfq5zh2xpfvghnhgasuk7v.jpg	https://www.comforty.ru/upload/iblock/63e/kg120qm3z44re1c2xj39o5rsjo7s79az.jpg	https://www.comforty.ru/upload/iblock/77a/35bjf73ujip6hre2xi617ln1i3of1czn.jpg	https://www.comforty.ru/upload/iblock/70b/5ryno32k3bx0kohy22jexn03qgv3umdc.jpg	https://www.comforty.ru/upload/iblock/2fb/2fbd7a0ce1a62308a431c181378a50cd.jpg
00-00007648	Comforty	Унитазы	COMFORTY. Унитаз подвесной 105MDH безободковый, сиденье дюропласт softclose тонкое, быстросъёмное (графит матовый)	20 680р.	28 920р.	26,5	365х360х482	500	410	460	Санфарфор	Графит матовый	Овальная	Подвесной	Горизонтальный	Душивой	Дюропласт	180	Да	Унитазы без ободка	Гарантийный срок 5 лет, на крышку-сиденье 1 год	4630100141486	Цвет: Графит матовый Материал: cанфарфор  Габаритные размеры (мм) ШхВхГ: 370*370*480 Выпуск: горизонтальный Монтаж: подвесной Сиденье-крышка: быстросъемное, дюропласт с системой микролифт Soft Close, быстросъемное  Комплект поставки : унитаз подвесной с сиденьем, комплект креплений Форма чаши: Овальная  Безободковый подвесной унитаз Comforty 105MDH с антибактериальной легкосъемной крышкой-сиденьем с функцией плавного закрывания. Безободковая конструкция чаши обеспечивает высочайший уровень гигиены и удобство в уборке из-за отсутствия труднодоступных мест.	https://www.comforty.ru/catalog/unitazy/unitaz-podvesnoy-comforty-105mdh-bezobodkovyy-grafit-matovyy/	https://www.comforty.ru/upload/iblock/9d7/9d7c2fe020f09d4bbfc0f6c8478d559c.jpg	https://www.comforty.ru/upload/iblock/7ca/7caf2ae2513348e5731067443e0b7209.jpg	https://www.comforty.ru/upload/iblock/cad/4ctoj0os7iuqxc9qucpp5hz3lsvwo8pf.jpg	https://www.comforty.ru/upload/iblock/742/ndtgb5hp66qmoesf7w4p1770oso8iser.jpg	https://www.comforty.ru/upload/iblock/ba9/ctzvn9wo0lxqt90vs80cj4727u5js4gg.jpg				https://www.comforty.ru/upload/iblock/af7/af7b5a347531705bf5335af0def7bbb9.jpg
00-00007649	Comforty	Унитазы	COMFORTY. Унитаз подвесной 105MH безободковый, сиденье дюропласт softclose тонкое, быстросъёмное (светло серый матовый)	16 960р.	23 720р.	26,5	365х360х483	500	410	460	Санфарфор	Светлосерый матовый	Овальная	Подвесной	Горизонтальный	Душивой	Дюропласт	180	Да	Унитазы без ободка	Гарантийный срок 5 лет, на крышку-сиденье 1 год	4630100141493	Цвет: Светлосерый матовый Материал: cанфарфор  Габаритные размеры (мм) ШхВхГ: 370*370*480 Выпуск: горизонтальный Монтаж: подвесной Сиденье-крышка: быстросъемное, дюропласт с системой микролифт Soft Close, быстросъемное  Комплект поставки : унитаз подвесной с сиденьем, комплект креплений Форма чаши: Овальная  Безободковый подвесной унитаз Comforty 105MH с антибактериальной легкосъемной крышкой-сиденьем с функцией плавного закрывания. Безободковая конструкция чаши обеспечивает высочайший уровень гигиены и удобство в уборке из-за отсутствия труднодоступных мест.	https://www.comforty.ru/catalog/unitazy/unitaz-podvesnoy-comforty-105mh-bezobodkovyy-seryy-matovyy/	https://www.comforty.ru/upload/iblock/c3b/c3b8d42ae84d92725deaaade7e3f74c8.jpg	https://www.comforty.ru/upload/iblock/b46/ou03ch68vg621zn0p6cyzw23j9e3yuft.jpg	https://www.comforty.ru/upload/iblock/20d/ke7suqy0pa8ddyfofz3w1kzcira08t1v.jpg	https://www.comforty.ru/upload/iblock/eee/r2zucac7xkjud2t7s7e3r6xqexkwvilw.jpg	https://www.comforty.ru/upload/iblock/e25/tbge85lwvcq7vswewld0vdavxlnn95sk.jpg	https://www.comforty.ru/upload/iblock/7ef/mphh1z9wxp6lu2vehgw5o2cavngaqtvk.jpg			https://www.comforty.ru/upload/iblock/540/540845d52af0e37ce6578984be921dc4.jpg
00-00007647	Comforty	Унитазы	COMFORTY. Унитаз подвесной 105MW безободковый, сиденье дюропласт softclose тонкое, быстросъёмное (белый матовый)	19 950р.	27 900р.	26,5	365х360х484	500	410	460	Санфарфор	Белый матовый	Овальная	Подвесной	Горизонтальный	Душивой	Дюропласт	180	Да	Унитазы без ободка	Гарантийный срок 5 лет, на крышку-сиденье 1 год	4630100141479	Цвет: Белый матовый Материал: cанфарфор  Габаритные размеры (мм) ШхВхГ: 370*370*480 Выпуск: горизонтальный Монтаж: подвесной Сиденье-крышка: быстросъемное, дюропласт с системой микролифт Soft Close, быстросъемное  Комплект поставки : унитаз подвесной с сиденьем, комплект креплений Форма чаши: Овальная  Безободковый подвесной унитаз Comforty 105МW с антибактериальной легкосъемной крышкой-сиденьем с функцией плавного закрывания. Безободковая конструкция чаши обеспечивает высочайший уровень гигиены и удобство в уборке из-за отсутствия труднодоступных мест.	https://www.comforty.ru/catalog/unitazy/unitaz-podvesnoy-comforty-105mw-bezobodkovyy-belyy-matovyy/	https://www.comforty.ru/upload/iblock/8e2/8e21b5b8ea58e5b0c6eab50a7a7a9bce.jpg								https://www.comforty.ru/upload/iblock/5d4/5d41c6a73ee3b7852e8476e9715c837a.jpg
00004150338	Comforty	Унитазы	COMFORTY. Унитаз подвесной 102 безободковый, сиденье дюропласт softclose тонкое, быстросъёмное	11 920р.	16 670р.	27,18	350*360*510	515	430	455	Санфарфор	Белый	Овальная	Подвесной	Горизонтальный		Дюропласт	180	Да	Унитазы без ободка	Гарантийный срок 5 лет, на крышку-сиденье 1 год	4630015259016	Габаритные размеры (мм) ШхВхГ: 350*360*510 Выпуск: горизонтальный Монтаж: подвесной Сиденье-крышка: быстросъемное, дюропласт с системой микролифт Soft Close  Комплект поставки : унитаз подвесной с сиденьем, комплект креплений Форма чаши: Овальная  Безободковый подвесной унитаз Comforty 102 с антибактериальной легкосъемной крышкой-сиденьем с функцией плавного закрывания. Безободковая конструкция чаши обеспечивает высочайший уровень гигиены и удобство в уборке из-за отсутствия труднодоступных мест.	https://www.comforty.ru/catalog/unitazy/unitaz-podvesnoy-comforty-102-bezobodkovyy/	https://www.comforty.ru/upload/iblock/301/twwhm9qurr25x2izy8jxq40c9xnwimxt.jpg	https://www.comforty.ru/upload/iblock/694/d8r3dwdnkbwu630ay39jleuwh2g93uhy.jpg	https://www.comforty.ru/upload/iblock/130/gfrbwcda4b8rdoedd8hspwv0ydh7nwky.jpg	https://www.comforty.ru/upload/iblock/123/vakn4cjvc9mpxmhfnsi8049011lyq29m.jpg	https://www.comforty.ru/upload/iblock/4ee/36d53dtfqtoebvr9ihhpd8rdcoaa6jpz.jpg	https://www.comforty.ru/upload/iblock/065/b53svn2bajxi34syt1wvmth2t6kh4p4i.jpg	https://www.comforty.ru/upload/iblock/c79/uvup1z8vdcsvh7fb8wjlf9jxdciqmo69.jpg		https://www.comforty.ru/upload/iblock/91b/91b27a61a6629b7bc1125f1ce8171377.jpg
00-00007789	Comforty	Унитазы	COMFORTY. Унитаз подвесной 104, ободковый, сиденье дюропласт softclose тонкое, быстросъёмное	11 560р.	16 160р.	33	370*350*550	515	430	465	Санфарфор	Белый	Овальная	Подвесной	Горизонтальный		Дюропласт	180	Да		Гарантийный срок 5 лет, на крышку-сиденье 1 год	4630100142513	Торговая марка: Comforty Артикул: 104 Цвет: белый глянец Материал: cанфарфор  Габаритные размеры (мм) ШхВхГ: 370*350*550 Выпуск: горизонтальный Монтаж: подвесной Сиденье-крышка: тонкое, быстросъемное, дюропласт с системой микролифт Soft Close  Комплект поставки : унитаз подвесной с сиденьем, комплект креплений Форма чаши: овальная  Подвесной унитаз Comforty 104 белый глянец с антибактериальной легкосъемной крышкой-сиденьем с функцией плавного закрывания. Душевой смыв унитаза обеспечивает быстрый и эффективный омыв и очистку чаши.	https://www.comforty.ru/catalog/unitazy/unitaz-podvesnoy-comforty-104-belyy/	https://www.comforty.ru/upload/iblock/aa4/ktwqgeqecm8zeesapruodzajyxokfl34.jpg	https://www.comforty.ru/upload/iblock/a4b/mpwoyx7chna9t9bukut0a1hzpbz1jbf3.jpg	https://www.comforty.ru/upload/iblock/4dc/l3kqlfwuw2x9cym5tyjzywq4ro4i7ci2.jpg	https://www.comforty.ru/upload/iblock/e0b/xbzhof9x8ylz8o2ni45l4prj2tbfn0iq.jpg	https://www.comforty.ru/upload/iblock/7c3/60r5f31iro0xkbo0dr3sl1yllrke65g0.jpg	https://www.comforty.ru/upload/iblock/56f/ql2t8fyexaayppay60uc4lye9z5fjl2l.jpg	https://www.comforty.ru/upload/iblock/92d/iyn1d5lgxy0gfm5saghycejsw0mtdxaz.jpg	https://www.comforty.ru/upload/iblock/dc6/ikhwf49xfx6oxbgkyh2iro3810xz440i.jpg	https://www.comforty.ru/upload/iblock/68c/ienzpxd4ee8obiljwbl4jk6slbrbsksh.jpg
00-00012849	Comforty	Унитазы	COMFORTY. Унитаз подвесной 106 безободковый, сиденье дюропласт softclose тонкое, быстросъёмное	11 920р.	16 670р.	28	350*350*520	480	410	555	Санфарфор	Белый	Прямоугольная	Подвесной	Горизонтальный		Дюропласт	180	Да		Гарантийный срок 5 лет, на крышку-сиденье 1 год	4630100144159	Торговая марка: Comforty Артикул: 106 Цвет: белый Материал: cанфарфор  Габаритные размеры (мм) ШхВхГ: 350*350*520 Выпуск: горизонтальный Монтаж: подвесной Форма чаши: прямоугольная Сиденье-крышка: дюропласт с системой микролифт Soft Close, быстросъемное Комплект поставки : унитаз подвесной с сиденьем, комплект креплений  Безободковый подвесной унитаз Comforty 106 с антибактериальной легкосъемной крышкой-сиденьем с функцией плавного закрывания. Безободковая конструкция чаши обеспечивает высочайший уровень гигиены и удобство в уборке из-за отсутствия труднодоступных мест.  Гарантийный срок на унитаз - 5 лет, на крышку-сиденье - 1 год.	https://www.comforty.ru/catalog/unitazy/unitaz-podvesnoy-comforty-106-belyy/	https://www.comforty.ru/upload/iblock/1df/c1q8d2r0rx7smwx8r55if2ctw3xnze4o.jpg	https://www.comforty.ru/upload/iblock/013/odc44exitbhozhoek2pcvt5cz95rqdg8.jpg	https://www.comforty.ru/upload/iblock/245/ncnmt3fih1fi2cqqriupn2lbf8xhger4.jpg	https://www.comforty.ru/upload/iblock/cf2/1luj786v6md8l52pv0dsm14tu3oblzbx.jpg	https://www.comforty.ru/upload/iblock/55f/5af92xy9aw36uhcju2f11liieaf7h7m2.jpg	https://www.comforty.ru/upload/iblock/943/ytl20mopzz81m2aoxix8is3aezy7kdga.jpg			https://www.comforty.ru/upload/iblock/8c4/dcn8vscz8gumvztzfy9j3q92ti4p1ooz.jpg
