Наименование	Артикул	Категория	ОПТ ₽	РРЦ ₽	Штрих-код	Бренд	Страна	Гарантия	Фото 0	Фото 1	Фото 2	Фото 3	Фото 4	СХЕМА	Модификация	Установка	Форма	Материал	Цвет	Объем, л	Антискользящее покрытие	Подголовник	Ручки	Слив-перелив	Расположение cлива	Каркас	Ножки	Комплектация	Мультимедиа	Дезинфекция	Озонирование	Хромотерапия	Защита от сухого пуска	Гидромассаж	Форсунок гидромассажа	Массаж спины	Аэромассаж	Форсунок аэромассажа	Исполнение форсунок	Тип управления	Регулировка интенсивности массажа	Длина, см	Ширина, см	Высота, см	Глубина, см	Длина упаковки, м	Ширина упаковки, м	Высота упаковки, м	Объем упаоквки, м3	Вес в упаковке, кг
Акриловая ванна ABBER AB9411-1.7	AB9411-1.7	Ванны	108 300	151 620	4603757436663	ABBER	Германия	3 года	https://gemy-russia.ru/imgcatalog/akrilovaya-vanna-abber-ab9411-1-7_kg_big_6324.jpg	https://gemy-russia.ru/imgcatalog/akrilovaya-vanna-abber-ab9411-1-7_kgi_big_24096.jpg	https://gemy-russia.ru/imgcatalog/akrilovaya-vanna-abber-ab9411-1-7_kgi_big_24097.jpg	https://gemy-russia.ru/imgcatalog/akrilovaya-vanna-abber-ab9411-1-7_kgi_big_24098.jpg		https://gemy-russia.ru/imgcatalog/akrilovaya-vanna-abber-ab9411-1-7_kgi_big_24099.jpg	универсальная	отдельностоящая	прямоугольная	акрил	белый	240	нет	нет	нет	есть, в комплекте	по центру	есть, в комплекте	нет		нет	нет	нет	нет	нет	нет		нет	нет				нет	170	75	58	45,6	1,73	0,78	0,61	0,823	49
Акриловая ванна ABBER AB9438-1.7 L	AB9438-1.7 L	Ванны	108 300	151 620	4603757436687	ABBER	Германия	3 года	https://gemy-russia.ru/imgcatalog/akrilovaya-vanna-abber-ab9438-1-7-l_kg_big_6325.jpg	https://gemy-russia.ru/imgcatalog/akrilovaya-vanna-abber-ab9438-1-7-l_kgi_big_24100.jpg	https://gemy-russia.ru/imgcatalog/akrilovaya-vanna-abber-ab9438-1-7-l_kgi_big_24101.jpg	https://gemy-russia.ru/imgcatalog/akrilovaya-vanna-abber-ab9438-1-7-l_kgi_big_24102.jpg		https://gemy-russia.ru/imgcatalog/akrilovaya-vanna-abber-ab9438-1-7-l_kgi_big_24103.jpg	левосторонняя	пристенная	угловая асимметричная	акрил	белый	240	нет	нет	нет	есть, в комплекте	по центру	есть, в комплекте	нет		нет	нет	нет	нет	нет	нет		нет	нет				нет	170	80	58	45,6	1,73	0,83	0,61	0,876	49
Акриловая ванна ABBER AB9438-1.7 R	AB9438-1.7 R	Ванны	108 300	151 620	4603757436694	ABBER	Германия	3 года	https://gemy-russia.ru/imgcatalog/akrilovaya-vanna-abber-ab9438-1-7-r_kg_big_6326.jpg	https://gemy-russia.ru/imgcatalog/akrilovaya-vanna-abber-ab9438-1-7-r_kgi_big_24104.jpg	https://gemy-russia.ru/imgcatalog/akrilovaya-vanna-abber-ab9438-1-7-r_kgi_big_24105.jpg			https://gemy-russia.ru/imgcatalog/akrilovaya-vanna-abber-ab9438-1-7-r_kgi_big_24106.jpg	правосторонняя	пристенная	угловая асимметричная	акрил	белый	240	нет	нет	нет	есть, в комплекте	по центру	есть, в комплекте	нет		нет	нет	нет	нет	нет	нет		нет	нет				нет	170	80	58	45,6	1,73	0,83	0,61	0,876	49
Ванна из искусственного камня ABBER Frankfurt AM9941MLG светло-серая матовая	AM9941MLG	Ванны	114 950	160 930	4603757439145	ABBER	Германия	5 лет	https://gemy-russia.ru/imgcatalog/vanna-iz-iskusstvennogo-kamnya-abber-frankfurt-am9941mlg-svetlo-seraya-matovaya_kg_big_6327.jpg	https://gemy-russia.ru/imgcatalog/vanna-iz-iskusstvennogo-kamnya-abber-frankfurt-am9941mlg-svetlo-seraya-matovaya_kgi_big_24107.jpg	https://gemy-russia.ru/imgcatalog/vanna-iz-iskusstvennogo-kamnya-abber-frankfurt-am9941mlg-svetlo-seraya-matovaya_kgi_big_24108.jpg	https://gemy-russia.ru/imgcatalog/vanna-iz-iskusstvennogo-kamnya-abber-frankfurt-am9941mlg-svetlo-seraya-matovaya_kgi_big_24109.jpg		https://gemy-russia.ru/imgcatalog/vanna-iz-iskusstvennogo-kamnya-abber-frankfurt-am9941mlg-svetlo-seraya-matovaya_kgi_big_24110.jpg	универсальная	отдельностоящая	овальная	искусственный камень	светло-серый матовый	325	нет	нет	нет	есть, в комплекте	по центру	есть, в комплекте	нет		нет	нет	нет	нет	нет	нет		нет	нет				нет	170	75	60	46	1,72	0,77	0,63	0,834	70
Ванна из искусственного камня ABBER Frankfurt AM9941MBE светло-бежевая матовая	AM9941MBE	Ванны	114 950	160 930	4603757439152	ABBER	Германия	5 лет	https://gemy-russia.ru/imgcatalog/vanna-iz-iskusstvennogo-kamnya-abber-frankfurt-am9941mbe-svetlo-bezhevaya-matovaya_kg_big_6328.jpg	https://gemy-russia.ru/imgcatalog/vanna-iz-iskusstvennogo-kamnya-abber-frankfurt-am9941mbe-svetlo-bezhevaya-matovaya_kgi_big_24111.jpg	https://gemy-russia.ru/imgcatalog/vanna-iz-iskusstvennogo-kamnya-abber-frankfurt-am9941mbe-svetlo-bezhevaya-matovaya_kgi_big_24112.jpg	https://gemy-russia.ru/imgcatalog/vanna-iz-iskusstvennogo-kamnya-abber-frankfurt-am9941mbe-svetlo-bezhevaya-matovaya_kgi_big_24113.jpg	https://gemy-russia.ru/imgcatalog/vanna-iz-iskusstvennogo-kamnya-abber-frankfurt-am9941mbe-svetlo-bezhevaya-matovaya_kgi_big_24114.jpg	https://gemy-russia.ru/imgcatalog/vanna-iz-iskusstvennogo-kamnya-abber-frankfurt-am9941mbe-svetlo-bezhevaya-matovaya_kgi_big_24115.jpg	универсальная	отдельностоящая	овальная	искусственный камень	светло-бежевый матовый	325	нет	нет	нет	есть, в комплекте	по центру	есть, в комплекте	нет		нет	нет	нет	нет	нет	нет		нет	нет				нет	170	75	60	46	1,72	0,77	0,63	0,834	70
Ванна из искусственного камня ABBER Frankfurt AM9941MBG темно-зеленая матовая	AM9941MBG	Ванны	114 950	160 930	4603757439169	ABBER	Германия	5 лет	https://gemy-russia.ru/imgcatalog/vanna-iz-iskusstvennogo-kamnya-abber-frankfurt-am9941mbg-temno-zelenaya-matovaya_kg_big_6329.jpg	https://gemy-russia.ru/imgcatalog/vanna-iz-iskusstvennogo-kamnya-abber-frankfurt-am9941mbg-temno-zelenaya-matovaya_kgi_big_24116.jpg	https://gemy-russia.ru/imgcatalog/vanna-iz-iskusstvennogo-kamnya-abber-frankfurt-am9941mbg-temno-zelenaya-matovaya_kgi_big_24117.jpg			https://gemy-russia.ru/imgcatalog/vanna-iz-iskusstvennogo-kamnya-abber-frankfurt-am9941mbg-temno-zelenaya-matovaya_kgi_big_24118.jpg	универсальная	отдельностоящая	овальная	искусственный камень	темно-зеленый матовый	325	нет	нет	нет	есть, в комплекте	по центру	есть, в комплекте	нет		нет	нет	нет	нет	нет	нет		нет	нет				нет	170	75	60	46	1,72	0,77	0,63	0,834	70
Ванна из искусственного камня ABBER Frankfurt AM9941MS песочная матовая	AM9941MS	Ванны	114 950	160 930	4603757439176	ABBER	Германия	5 лет	https://gemy-russia.ru/imgcatalog/vanna-iz-iskusstvennogo-kamnya-abber-frankfurt-am9941ms-pesochnaya-matovaya_kg_big_6330.jpg	https://gemy-russia.ru/imgcatalog/vanna-iz-iskusstvennogo-kamnya-abber-frankfurt-am9941ms-pesochnaya-matovaya_kgi_big_24119.jpg	https://gemy-russia.ru/imgcatalog/vanna-iz-iskusstvennogo-kamnya-abber-frankfurt-am9941ms-pesochnaya-matovaya_kgi_big_24120.jpg			https://gemy-russia.ru/imgcatalog/vanna-iz-iskusstvennogo-kamnya-abber-frankfurt-am9941ms-pesochnaya-matovaya_kgi_big_24121.jpg	универсальная	отдельностоящая	овальная	искусственный камень	песочный матовый	325	нет	нет	нет	есть, в комплекте	по центру	есть, в комплекте	нет		нет	нет	нет	нет	нет	нет		нет	нет				нет	170	75	60	46	1,72	0,77	0,63	0,834	70
Ванна из искусственного камня ABBER Stein AS9663	AS9663	Ванны	180 500	252 700	4603757437622	ABBER	Германия	5 лет	https://gemy-russia.ru/imgcatalog/vanna-iz-iskusstvennogo-kamnya-abber-stein-as9663_kg_big_6321.jpg	https://gemy-russia.ru/imgcatalog/vanna-iz-iskusstvennogo-kamnya-abber-stein-as9663_kgi_big_24091.jpg	https://gemy-russia.ru/imgcatalog/vanna-iz-iskusstvennogo-kamnya-abber-stein-as9663_kgi_big_24092.jpg			https://gemy-russia.ru/imgcatalog/vanna-iz-iskusstvennogo-kamnya-abber-stein-as9663_kgi_big_24093.jpg	универсальная	отдельностоящая	прямоугольная	искусственный камень	белый	240	нет	нет	нет	есть, в комплекте	по центру	нет	есть в комплекте		нет	нет	нет	нет	нет	нет		нет	нет				нет	170	75	55	43	1,79	0,84	0,7	1,053	200
Ванна из искусственного камня ABBER Stein AS9602	AS9602	Ванны	180 500	252 700	4603757437172	ABBER	Германия	5 лет	https://gemy-russia.ru/imgcatalog/vanna-iz-iskusstvennogo-kamnya-abber-stein-as9602_kg_big_6322.jpg					https://gemy-russia.ru/imgcatalog/vanna-iz-iskusstvennogo-kamnya-abber-stein-as9602_kgi_big_24094.jpg	универсальная	отдельностоящая	прямоугольная	искусственный камень	белый	240	нет	нет	нет	есть, в комплекте	по центру	нет	есть в комплекте		нет	нет	нет	нет	нет	нет		нет	нет				нет	170	75	55	43	1,79	0,84	0,7	1,053	200
Прозрачная ванна ABBER Kristall AT9705Koralle розовая	AT9705Koralle	Ванны	380 000	532 000	4603757436892	ABBER	Германия	5 лет	https://gemy-russia.ru/imgcatalog/prozrachnaya-vanna-abber-kristall-at9705koralle-rozovaya_kg_big_6299.jpg	https://gemy-russia.ru/imgcatalog/prozrachnaya-vanna-abber-kristall-at9705koralle-rozovaya_kgi_big_24022.jpg	https://gemy-russia.ru/imgcatalog/prozrachnaya-vanna-abber-kristall-at9705koralle-rozovaya_kgi_big_24023.jpg	https://gemy-russia.ru/imgcatalog/prozrachnaya-vanna-abber-kristall-at9705koralle-rozovaya_kgi_big_24024.jpg		https://gemy-russia.ru/imgcatalog/prozrachnaya-vanna-abber-kristall-at9705koralle-rozovaya_kgi_big_24025.jpg	универсальная	отдельностоящая	круглая	полиэфирная смола	розовый	380	нет	нет	нет	нет	по центру	нет	нет	донный клапан	нет	нет	нет	нет	нет	нет		нет	нет				нет	150	150	64,6	46,7	1,59	1,59	0,8	2,022	158
