Раздел	Бренд	Артикул	Коллекция	Наименование			Название на русском	тип	Ширина	Высота	Глубина	Монтаж	Материал корпуса 1	Материал корпуса 2	Материал фасада	Покрытие	Цвет	Стиль	Гарантия	Страна сборки	Вес, кг Нетто	Вес, кг Брутто	Объем, м3 Нетто	Штрихкод	Ориентация	область применения	Фото	технический рисунок
аксессуар  для ванных комнат	Bemeta	132836022	BETA	BETA: Stojan s držákem ručníků, dvojitý	BETA: Double square  towel bar set	BETA: Handtuchhalter, dreifach mit WC_Bürstengarnitur	Стойка с двойным держателем для полотенец	Полотенцедержатель	150	800	400	подвесной	латунь 	X	хром	глянцевое		модерн	12 лет	Чехия	3,842	4,6	0,048	8592207011917	универсальная	бытовая	https://yadi.sk/i/WgRY2gd-tJ88cg	https://yadi.sk/i/WqPS2xjQRbkzEA
аксессуар  для ванных комнат	Bemeta	132405212	BETA	BETA: Čtyřháček	Beta: 4 robe hook	BETA:Vierfachhaken	Планка с 4-мя крючками	Крючок	250	55	50	Наполный	латунь 	X	хром	глянцевое		модерн	12 лет	Чехия	0,686	0,746	0,0006875	8592207011788	универсальная	бытовая	https://yadi.sk/i/D0SB3gW_Egruhg	https://yadi.sk/i/YqoK4Pt9yttpnw
аксессуар  для ванных комнат	Bemeta	132405222	BETA	BETA: Dvojháček, vysoký	Beta: Double hook	BETA:Doppelhaken	Двойной крючок	Крючок	55	120	90	подвесной	латунь 	X	хром	глянцевое		модерн	12 лет	Чехия	0,326	0,36	0,000594	8592207011795	универсальная	бытовая	https://yadi.sk/i/pTA1L81HUA3QpA	https://yadi.sk/i/HkWOUGRYQueQNA
аксессуар  для ванных комнат	Bemeta	132405232	BETA	BETA: Trojháček	Beta: Triple hook	BETA:Dreifachhaken	Планка с 3-мя кючками	Крючок	185	55	50	подвесной	латунь 	X	хром	глянцевое		модерн	12 лет	Чехия	0,507	0,553	0,00050875	8592207011825	универсальная	бытовая	https://yadi.sk/i/8sbQV-NKuuYgxw	https://yadi.sk/i/-cPI9Kgkb7d65A
аксессуар  для ванных комнат	Bemeta	132836012	BETA	BETA: Stojan s držákem toal. papíru a WC štětkou	BETA: 3 arms towel stand with toilet brush	BETA: Handtuchhalter, dreifach mit WC_Bürstengarnitur	Стойка с держателем туалетной бумаги и ёршик	Ёршик 	150	710	255	Наполный	латунь 	X	хром	глянцевое		модерн	12 лет	Чехия	3,642	4,4	0,0271575	8592207011900	универсальная	бытовая	https://yadi.sk/i/tswoEzKZNsddLw	https://yadi.sk/i/0Wy-TChJReq7_g
аксессуар  для ванных комнат	Bemeta	132212032	BETA	BETA: Držák toal. papíru bez krytu	BETA: paper holder	BETA:  Papierrollenhakter ohne Deckel	Держатель туалетной бумаги	Держатель туалетного рулона	180	55	70	подвесной	латунь 	X	хром	глянцевое		модерн	12 лет	Чехия	0,142	0,156	0,000693	8592207014031	Правый	бытовая	https://yadi.sk/i/95QY9p-etdiRVA	https://yadi.sk/i/_j7ISe66peM7WQ
аксессуар  для ванных комнат	Bemeta	132212032L	BETA	BETA: Držák toal. papíru bez krytu levostranný	BETA: paper holder left sided	BETA:  Papierrollenhakter ohne Deckel links	Держатель туалетной бумаги	Держатель туалетного рулона	180	55	70	подвесной	латунь 	X	хром	глянцевое		модерн	12 лет	Чехия	0,16	0,228	0,000693	8592207014420	Левый	бытовая	https://yadi.sk/i/2_LlYFGMCt_jeg	https://yadi.sk/i/Is1jcgu28XjtXg
аксессуар  для ванных комнат	Bemeta	132306172	BETA	BETA: Věšáček hranatý	BETA: single robe hook	BETA: Kleiderhaken	Kрючок для одежды	Крючок	55	55	50	подвесной	латунь 	X	хром	глянцевое		модерн	12 лет	Чехия	0,2	0,235	0,00015125	8592207010699	универсальная	бытовая	https://yadi.sk/i/d12nqjF7TPF3YA	https://yadi.sk/i/lnt_snMyrgwQpA
аксессуар  для ванных комнат	Bemeta	132405202	BETA	BETA: Dvojháček	Beta: Double hook	BETA:Doppelhaken	Планка с 2-мя крючками	Крючок	120	55	50	подвесной	латунь 	X	хром	глянцевое		модерн	12 лет	Чехия	0,33	0,364	0,00033	8592207011771	универсальная	бытовая	https://yadi.sk/i/Ly-VlzxR7lYuQg	https://yadi.sk/i/rnXi7zOYTy_rMw
аксессуар  для ванных комнат	Bemeta	132205102	BETA	BETA: Držák ručníků dvojitý s hrazdou 655mm	BETA: double towel hoder	BETA:Doppelandtuchablage	Полочка для полотенецa с вешалкой	Полотенцедержатель	655	160	225	подвесной	латунь 	X	хром	глянцевое		модерн	12 лет	Чехия	1,077	1,343	0,02358	8592207008351	универсальная	бытовая	https://yadi.sk/i/gY8rYXn7tuXq7w	https://yadi.sk/i/33AcizKo-jxzAQ
