Артикул	Наименование	Раздел	Бренд	Штрих-код	Серия	Модель	Главное фото	Изображение 2	Изображение 3	Изображение 4	Изображение 5	Изображение 6	Изображение 7	Изображение 8	Изображение 9	Изображение 10	Изображение 11	Изображение 12	Чертёж	Инструкция	Видео (монтаж изделия)	Видео (обзор)	Видео  (сборка)		Ссылка на изображения (файлообменник с фотографиями)	Ссылка на инструкции и схемы (jpg, pdf файлы)	Длина, см	Ширина, см	Высота, см	Вес, кг (вес товара без упаковки)	Ширина упаковки, м	Длина упаковки, м	Глубина упаковки, м	Материал упаковки 	Количество коробок	Объем, м3 (объем товара в упаковке)	Масса, кг (вес товара вместе с упаковкой)	Регулировка	Цвет	Направление  выпуска	Диаметр слива, см	Длина внешней части, см	Ширина внешней части, см	Диаметр  подключения, см	Вид затвора	Материал слива	Материал решетки	Вид решетки	Регулировка	Размещение	Монтаж	Макс. пропускная способность, л/мин	Гарантия	Комплектация	ОПИСАНИЕ	Страна	 Цена
090308	Желоб BERGES водосток Basic 330, пристенный, нержавеющая сталь	Желоба и трапы	BERGES	4670016711373	Basic	Basic 330	https://disk.yandex.ru/i/zg5YBnbTQRf9YQ																				33	6,5	15	1,8	0,25	0,44	0,12	блистер	1	0,013	1,85	по высоте	матовый хром	боковой	4	33	5,5	4	мокрый 	полипропилен	нержавеющая сталь	с щелью для воды	по высоте 	вровень с полом	в стену	40 л/мин	10 лет		Решетка-желоб, нержавеющая сталь AISI 304, Фданец PP с гидроизоляцией, регулируемые по высоте ножки	Сербия	  10 650 
090110	Желоб BERGES водосток SIMPEL 400, матовый хром, S-сифон D50 H60 боковой	Желоба и трапы	BERGES	4670016711861	SIMPEL	SIMPEL 400	https://berges.ru/image/catalog/Channels/Simpel/Simpel_h_400_600.jpg	https://berges.ru/image/catalog/Channels/Simpel/01_int_Simpel.jpg	https://berges.ru/image/catalog/Channels/Simpel/02_elements_h.jpg	https://berges.ru/image/catalog/Channels/Simpel/03_simpel_instal_h.jpg	https://berges.ru/image/catalog/Channels/Simpel/04_color_simpel.jpg	https://berges.ru/image/catalog/Channels/Simpel/05_simpel.png	https://berges.ru/image/catalog/Channels/Simpel/06_siphon_h.jpg	https://berges.ru/image/catalog/Channels/Simpel/07_grid.jpg	https://berges.ru/image/catalog/Channels/Simpel/Simpel_gif.gif	https://berges.ru/image/catalog/Channels/Simpel/int_Simpel_2.jpg			https://berges.ru/image/cache/catalog/Channels/draw/draw_Simpel_1_h-1000x1000.png	https://berges.ru/index.php?route=product/product/download&product_id=114&download_id=26	https://www.youtube.com/watch?v=vOn9WYLUuvw&list=PLzj_zIqDA9B6csaOUdlT6gTNK8S9RbuQc&index=2	https://www.youtube.com/watch?v=kp0dIpnmyEY&list=PLzj_zIqDA9B5KKQ_yh7C-0fy-wU67p5-4&index=14			https://yadi.sk/d/KVTooWWNqopchw	https://yadi.sk/d/6BCdRJQI6XFxYg	40	31,2	7,5	2,4	0,18	0,82	0,14	картон	1	0,020664	2,8	по высоте	матовый хром	боковой	5	40	4,4	5	мокрый 	полипропилен	нержавеющая сталь	с щелью для воды	по высоте 	вровень с полом	около стены (в пол)	42 л/мин	10 лет		Решетка-желоб водосток, нержавеющая сталь AISI 304 Декоративная заглушка с сеткой для волос, нержавеющая сталь AISI 304 Переходник, PP Корпус PP c гидроизоляцией Самопромывной S-образный сифон PP: горизонтальный выпуск D50 H60, пропускная способность 42л/мин, монтаж 360° Монтажные углы и ключ, пластик	Турция	  17 820 
090111	Желоб BERGES водосток SIMPEL 600, матовый хром, S-сифон D50 H60 боковой	Желоба и трапы	BERGES	4670016711878	SIMPEL	SIMPEL 600	https://berges.ru/image/catalog/Channels/Simpel/Simpel_h_400_600.jpg	https://berges.ru/image/catalog/Channels/Simpel/01_int_Simpel.jpg	https://berges.ru/image/catalog/Channels/Simpel/02_elements_h.jpg	https://berges.ru/image/catalog/Channels/Simpel/03_simpel_instal_h.jpg	https://berges.ru/image/catalog/Channels/Simpel/04_color_simpel.jpg	https://berges.ru/image/catalog/Channels/Simpel/05_simpel.png	https://berges.ru/image/catalog/Channels/Simpel/06_siphon_h.jpg	https://berges.ru/image/catalog/Channels/Simpel/07_grid.jpg	https://berges.ru/image/catalog/Channels/Simpel/Simpel_gif.gif	https://berges.ru/image/catalog/Channels/Simpel/int_Simpel_2.jpg			https://berges.ru/image/cache/catalog/Channels/draw/draw_Simpel_1_h-1000x1000.png	https://berges.ru/index.php?route=product/product/download&product_id=114&download_id=26	https://www.youtube.com/watch?v=vOn9WYLUuvw&list=PLzj_zIqDA9B6csaOUdlT6gTNK8S9RbuQc&index=2	https://www.youtube.com/watch?v=kp0dIpnmyEY&list=PLzj_zIqDA9B5KKQ_yh7C-0fy-wU67p5-4&index=14			https://yadi.sk/d/Vzyh8tk0whh6Ew	https://yadi.sk/d/mdnS92e6xkXNyA	60	31,2	7,5	2,6	0,18	0,82	0,14	картон	1	0,020664	3	по высоте	матовый хром	боковой	5	60	4,4	5	мокрый 	полипропилен	нержавеющая сталь	с щелью для воды	по высоте 	вровень с полом	около стены (в пол)	42 л/мин	10 лет		Решетка-желоб водосток, нержавеющая сталь AISI 304 Декоративная заглушка с сеткой для волос, нержавеющая сталь AISI 304 Переходник, PP Корпус PP c гидроизоляцией Самопромывной S-образный сифон PP: горизонтальный выпуск D50 H60, пропускная способность 42л/мин, монтаж 360° Монтажные углы и ключ, пластик	Турция	  24 120 
090112	Желоб BERGES водосток SIMPEL 800, матовый хром, S-сифон D50 H60 боковой	Желоба и трапы	BERGES	4670016711885	SIMPEL	SIMPEL 800	https://berges.ru/image/catalog/Channels/Simpel/Simpel_h_800_1000.jpg	https://berges.ru/image/catalog/Channels/Simpel/01_int_Simpel.jpg	https://berges.ru/image/catalog/Channels/Simpel/02_elements_h.jpg	https://berges.ru/image/catalog/Channels/Simpel/03_simpel_instal_h.jpg	https://berges.ru/image/catalog/Channels/Simpel/04_color_simpel.jpg	https://berges.ru/image/catalog/Channels/Simpel/05_simpel.png	https://berges.ru/image/catalog/Channels/Simpel/06_siphon_h.jpg	https://berges.ru/image/catalog/Channels/Simpel/07_grid.jpg	https://berges.ru/image/catalog/Channels/Simpel/Simpel_gif.gif	https://berges.ru/image/catalog/Channels/Simpel/int_Simpel_2.jpg			https://berges.ru/image/cache/catalog/Channels/draw/draw_Simpel_1_h-1000x1000.png	https://berges.ru/index.php?route=product/product/download&product_id=114&download_id=26	https://www.youtube.com/watch?v=vOn9WYLUuvw&list=PLzj_zIqDA9B6csaOUdlT6gTNK8S9RbuQc&index=2	https://www.youtube.com/watch?v=kp0dIpnmyEY&list=PLzj_zIqDA9B5KKQ_yh7C-0fy-wU67p5-4&index=14			https://yadi.sk/d/LZmugLjcij0gNw	https://yadi.sk/d/hTrK-r5_nxt7KA	80	31,2	7,5	2,8	0,18	0,82	0,14	картон	1	0,020664	3,2	по высоте	матовый хром	боковой	5	80	4,4	5	мокрый 	полипропилен	нержавеющая сталь	с щелью для воды	по высоте 	вровень с полом	около стены (в пол)	42 л/мин	10 лет		Решетка-желоб водосток, нержавеющая сталь AISI 304 Декоративная заглушка с сеткой для волос, нержавеющая сталь AISI 304 Переходник, PP Корпус PP c гидроизоляцией Самопромывной S-образный сифон PP: горизонтальный выпуск D50 H60, пропускная способность 42л/мин, монтаж 360° Монтажные углы и ключ, пластик	Турция	  30 870 
090113	Желоб BERGES водосток SIMPEL 1000, матовый хром, S-сифон D50 H60 боковой	Желоба и трапы	BERGES	4670016711892	SIMPEL	SIMPEL 1000	https://berges.ru/image/catalog/Channels/Simpel/Simpel_h_800_1000.jpg	https://berges.ru/image/catalog/Channels/Simpel/01_int_Simpel.jpg	https://berges.ru/image/catalog/Channels/Simpel/02_elements_h.jpg	https://berges.ru/image/catalog/Channels/Simpel/03_simpel_instal_h.jpg	https://berges.ru/image/catalog/Channels/Simpel/04_color_simpel.jpg	https://berges.ru/image/catalog/Channels/Simpel/05_simpel.png	https://berges.ru/image/catalog/Channels/Simpel/06_siphon_h.jpg	https://berges.ru/image/catalog/Channels/Simpel/07_grid.jpg	https://berges.ru/image/catalog/Channels/Simpel/Simpel_gif.gif	https://berges.ru/image/catalog/Channels/Simpel/int_Simpel_2.jpg			https://berges.ru/image/cache/catalog/Channels/draw/draw_Simpel_1_h-1000x1000.png	https://berges.ru/index.php?route=product/product/download&product_id=114&download_id=26	https://www.youtube.com/watch?v=vOn9WYLUuvw&list=PLzj_zIqDA9B6csaOUdlT6gTNK8S9RbuQc&index=2	https://www.youtube.com/watch?v=kp0dIpnmyEY&list=PLzj_zIqDA9B5KKQ_yh7C-0fy-wU67p5-4&index=14			https://yadi.sk/d/8wV-4VD2X12yGA	https://yadi.sk/d/x_HI5FHRseImCA	100	31,2	7,5	3,2	0,18	1,05	0,14	картон	1	0,02646	3,6	по высоте	матовый хром	боковой	5	100	4,4	5	мокрый 	полипропилен	нержавеющая сталь	с щелью для воды	по высоте 	вровень с полом	около стены (в пол)	42 л/мин	10 лет		Решетка-желоб водосток, нержавеющая сталь AISI 304 Декоративная заглушка с сеткой для волос, нержавеющая сталь AISI 304 Переходник, PP Корпус PP c гидроизоляцией Самопромывной S-образный сифон PP: горизонтальный выпуск D50 H60, пропускная способность 42л/мин, монтаж 360° Монтажные углы и ключ, пластик	Турция	  33 680 
091111	Желоб BERGES водосток SIMPEL 600, хром глянец, S-сифон D50 H60 боковой	Желоба и трапы	BERGES	4670016712677	SIMPEL	SIMPEL 600													https://berges.ru/image/cache/catalog/Channels/draw/draw_Simpel_1_h-1000x1000.png	https://berges.ru/index.php?route=product/product/download&product_id=114&download_id=26	https://www.youtube.com/watch?v=vOn9WYLUuvw&list=PLzj_zIqDA9B6csaOUdlT6gTNK8S9RbuQc&index=2	https://www.youtube.com/watch?v=kp0dIpnmyEY&list=PLzj_zIqDA9B5KKQ_yh7C-0fy-wU67p5-4&index=14			https://yadi.sk/d/aU5uZ4-_T-dWpw	https://yadi.sk/d/8CZo0f4TdyzTZA	60	31,2	7,5	2,6	0,18	0,82	0,14	картон	1	0,020664	3	по высоте	хром глянец	боковой	5	60	4,4	5	мокрый 	полипропилен	нержавеющая сталь	с щелью для воды	по высоте 	вровень с полом	около стены (в пол)	42 л/мин	10 лет		Решетка-желоб водосток, нержавеющая сталь AISI 304 Декоративная заглушка с сеткой для волос, нержавеющая сталь AISI 304 Переходник, PP Корпус PP c гидроизоляцией Самопромывной S-образный сифон PP: горизонтальный выпуск D50 H60, пропускная способность 42л/мин, монтаж 360° Монтажные углы и ключ, пластик	Турция	  25 970 
091112	Желоб BERGES водосток SIMPEL 800, хром глянец, S-сифон D50 H60 боковой	Желоба и трапы	BERGES	4670016712684	SIMPEL	SIMPEL 800	https://berges.ru/image/catalog/Channels/Simpel/Simpel_h_800_1000.jpg	https://berges.ru/image/catalog/Channels/Simpel/01_int_Simpel.jpg	https://berges.ru/image/catalog/Channels/Simpel/02_elements_h.jpg	https://berges.ru/image/catalog/Channels/Simpel/03_simpel_instal_h.jpg	https://berges.ru/image/catalog/Channels/Simpel/04_color_simpel.jpg	https://berges.ru/image/catalog/Channels/Simpel/05_simpel.png	https://berges.ru/image/catalog/Channels/Simpel/06_siphon_h.jpg	https://berges.ru/image/catalog/Channels/Simpel/07_grid.jpg	https://berges.ru/image/catalog/Channels/Simpel/Simpel_gif.gif	https://berges.ru/image/catalog/Channels/Simpel/int_Simpel_2.jpg			https://berges.ru/image/cache/catalog/Channels/draw/draw_Simpel_1_h-1000x1000.png	https://berges.ru/index.php?route=product/product/download&product_id=114&download_id=26	https://www.youtube.com/watch?v=vOn9WYLUuvw&list=PLzj_zIqDA9B6csaOUdlT6gTNK8S9RbuQc&index=2	https://www.youtube.com/watch?v=kp0dIpnmyEY&list=PLzj_zIqDA9B5KKQ_yh7C-0fy-wU67p5-4&index=14			https://yadi.sk/d/3evqnKOBRAYIcw	https://yadi.sk/d/ls2hgGXSbLaSdA	80	31,2	7,5	2,8	0,18	0,82	0,14	картон	1	0,020664	3,2	по высоте	хром глянец	боковой	5	80	4,4	5	мокрый 	полипропилен	нержавеющая сталь	с щелью для воды	по высоте 	вровень с полом	около стены (в пол)	42 л/мин	10 лет		Решетка-желоб водосток, нержавеющая сталь AISI 304 Декоративная заглушка с сеткой для волос, нержавеющая сталь AISI 304 Переходник, PP Корпус PP c гидроизоляцией Самопромывной S-образный сифон PP: горизонтальный выпуск D50 H60, пропускная способность 42л/мин, монтаж 360° Монтажные углы и ключ, пластик	Турция	  32 740 
091113	Желоб BERGES водосток SIMPEL 1000, хром глянец, S-сифон D50 H60 боковой	Желоба и трапы	BERGES	4670016712691	SIMPEL	SIMPEL 1000	https://berges.ru/image/catalog/Channels/Simpel/Simpel_h_800_1000.jpg	https://berges.ru/image/catalog/Channels/Simpel/01_int_Simpel.jpg	https://berges.ru/image/catalog/Channels/Simpel/02_elements_h.jpg	https://berges.ru/image/catalog/Channels/Simpel/03_simpel_instal_h.jpg	https://berges.ru/image/catalog/Channels/Simpel/04_color_simpel.jpg	https://berges.ru/image/catalog/Channels/Simpel/05_simpel.png	https://berges.ru/image/catalog/Channels/Simpel/06_siphon_h.jpg	https://berges.ru/image/catalog/Channels/Simpel/07_grid.jpg	https://berges.ru/image/catalog/Channels/Simpel/Simpel_gif.gif	https://berges.ru/image/catalog/Channels/Simpel/int_Simpel_2.jpg			https://berges.ru/image/cache/catalog/Channels/draw/draw_Simpel_1_h-1000x1000.png	https://berges.ru/index.php?route=product/product/download&product_id=114&download_id=26	https://www.youtube.com/watch?v=vOn9WYLUuvw&list=PLzj_zIqDA9B6csaOUdlT6gTNK8S9RbuQc&index=2	https://www.youtube.com/watch?v=kp0dIpnmyEY&list=PLzj_zIqDA9B5KKQ_yh7C-0fy-wU67p5-4&index=14			https://yadi.sk/d/VJX5UO4v3YOaJg	https://yadi.sk/d/j9v6FaMFG0vMIw	100	31,2	7,5	3,2	0,18	1,05	0,14	картон	1	0,02646	3,6	по высоте	хром глянец	боковой	5	100	4,4	5	мокрый 	полипропилен	нержавеющая сталь	с щелью для воды	по высоте 	вровень с полом	около стены (в пол)	42 л/мин	10 лет		Решетка-желоб водосток, нержавеющая сталь AISI 304 Декоративная заглушка с сеткой для волос, нержавеющая сталь AISI 304 Переходник, PP Корпус PP c гидроизоляцией Самопромывной S-образный сифон PP: горизонтальный выпуск D50 H60, пропускная способность 42л/мин, монтаж 360° Монтажные углы и ключ, пластик	Турция	  35 590 
092111	Желоб BERGES водосток SIMPEL 600, золото глянец, S-сифон D50 H60 боковой	Желоба и трапы	BERGES	4670016714190	SIMPEL	SIMPEL 600													https://berges.ru/image/cache/catalog/Channels/draw/draw_Simpel_1_h-1000x1000.png	https://berges.ru/index.php?route=product/product/download&product_id=114&download_id=26	https://www.youtube.com/watch?v=vOn9WYLUuvw&list=PLzj_zIqDA9B6csaOUdlT6gTNK8S9RbuQc&index=2	https://www.youtube.com/watch?v=kp0dIpnmyEY&list=PLzj_zIqDA9B5KKQ_yh7C-0fy-wU67p5-4&index=14			https://yadi.sk/d/5dqxAn-jg1O2rg	https://yadi.sk/d/WZRF0pdaE-1O_w	60	31,2	7,5	2,6	0,18	0,82	0,14	картон	1	0,020664	3	по высоте	золото глянец	боковой	5	60	4,4	5	мокрый 	полипропилен	нержавеющая сталь	с щелью для воды	по высоте 	вровень с полом	около стены (в пол)	42 л/мин	10 лет		Решетка-желоб водосток, нержавеющая сталь AISI 304 Декоративная заглушка с сеткой для волос, нержавеющая сталь AISI 304 Переходник, PP Корпус PP c гидроизоляцией Самопромывной S-образный сифон PP: горизонтальный выпуск D50 H60, пропускная способность 42л/мин, монтаж 360° Монтажные углы и ключ, пластик	Турция	  36 640 
092112	Желоб BERGES водосток SIMPEL 800, золото глянец, S-сифон D50 H60 боковой	Желоба и трапы	BERGES	4670016714206	SIMPEL	SIMPEL 800	https://berges.ru/image/catalog/Channels/Simpel/gold_Simpel_h_800_1000.jpg	https://berges.ru/image/catalog/Channels/Simpel/gold_01_int_Simpel.jpg	https://berges.ru/image/catalog/Channels/Simpel/02_elements_h.jpg	https://berges.ru/image/catalog/Channels/Simpel/03_simpel_instal_h.jpg	https://berges.ru/image/catalog/Channels/Simpel/04_color_simpel.jpg	https://berges.ru/image/catalog/Channels/Simpel/05_simpel.png	https://berges.ru/image/catalog/Channels/Simpel/06_siphon_h.jpg	https://berges.ru/image/catalog/Channels/Simpel/gold_07_grid.jpg					https://berges.ru/image/cache/catalog/Channels/draw/draw_Simpel_1_h-1000x1000.png	https://berges.ru/index.php?route=product/product/download&product_id=114&download_id=26	https://www.youtube.com/watch?v=vOn9WYLUuvw&list=PLzj_zIqDA9B6csaOUdlT6gTNK8S9RbuQc&index=2	https://www.youtube.com/watch?v=kp0dIpnmyEY&list=PLzj_zIqDA9B5KKQ_yh7C-0fy-wU67p5-4&index=14			https://yadi.sk/d/59Xo3RUSO4leeQ	https://yadi.sk/d/Tg7mPhy8RDdLCw	80	31,2	7,5	2,8	0,18	0,82	0,14	картон	1	0,020664	3,2	по высоте	золото глянец	боковой	5	80	4,4	5	мокрый 	полипропилен	нержавеющая сталь	с щелью для воды	по высоте 	вровень с полом	около стены (в пол)	42 л/мин	10 лет		Решетка-желоб водосток, нержавеющая сталь AISI 304 Декоративная заглушка с сеткой для волос, нержавеющая сталь AISI 304 Переходник, PP Корпус PP c гидроизоляцией Самопромывной S-образный сифон PP: горизонтальный выпуск D50 H60, пропускная способность 42л/мин, монтаж 360° Монтажные углы и ключ, пластик	Турция	  38 810 
