Артикул	Наименование	Раздел	Производитель	Состояние	Статус	Цвет	Тип	Штрихкод	Коллекция	Ширина	Высота	Глубина	Монтаж	Материал корпуса	Материал фасада	Покрытие	Стиль	Гарантия	Страна сборки	Вес, кг Брутто	Объем, м3 Брутто	Ориентация	Область применения	Фурнитура	Доп. функции	Система хранения	Тип лампы	Описание	Изображение	РРЦ
99.9100	Ящик BOX, 60 см, подвесной, для стеклянной столешницы LINE, 1 ящик, push-to-open, белый глянец	тумбы	Dreja	склад		белый	тумбы	4670015117602	Box	590	270	460	подвесной	ЛДСП	МДФ	глянцевое	современный	2 года	Россия	12	0,070	универсальная	бытовая	Hettich	механизм открывания push-to-open	1 ящик		Подвесная современная коллекция	https://cloud.mail.ru/public/BNpT/EWw4LWUAx	11800
99.9101	Столешница LINE, 120 см, стеклянная, с отверстиями для установки накладного умывальника и смесителя, белая	столешницы	Dreja	склад		белый	столешницы	4670015117473	Line	1200	24	460	подвесной	МДФ+стекло	МДФ+стекло	стекло	современный	2 года	Россия	12,9045	0,030	универсальная	бытовая					Столешница со стеклом	https://cloud.mail.ru/public/5sXr/sjKKK2516	13600
99.9102	Консоль под стеклянную столешницу LINE, хром	консоли	Dreja	склад		хром	консоли	4670015118715	Line	20	210	455	подвесной	мелалл	металл	хром	современный	2 года	Россия	1,2	0,016	универсальная	бытовая					Консоль под стеклянную столешницу	https://cloud.mail.ru/public/Wd5P/AqzSL4Zqu	7609
99.9200	Тумба INSIGHT, 80 см, подвесная, стеклянная столешница с отверстиями для установки накладного умывальника и смесителя, 1 ящик, белый глянец	тумбы	Dreja	склад		белый	тумбы	4670015117497	Insight	800	350	500	подвесной	МДФ	МДФ	глянцевое	современный	2 года	Россия	30	0,196	универсальная	бытовая	Hettich	встроенный органайзер 	1 ящик		Подвесная современная коллекция	https://cloud.mail.ru/public/9KJy/zfxAouT8m	34800
99.9201	Пенал INSIGHT, 35 см, подвесной, универсальный, 2 дверцы, 4 стеклянные полки, белый глянец	пеналы	Dreja	склад		белый	пеналы	4670015117404	Insight	350	1720	350	подвесной	МДФ	МДФ	глянцевое	современный	2 года	Россия	40	0,253	универсальная	бытовая	Hettich		2 дверцы, 4 стеклянные полки		Подвесная современная коллекция	https://cloud.mail.ru/public/74Pp/DKqTh6jk1	36500
99.0806	Тумба PERFECTO, 60 см, подвесная, 1 ящик, push-to-open, белый глянец	тумбы	Dreja	склад		белый	тумбы	4670015117503	Perfecto	570	502	453	подвесной	ЛДСП	МДФ	глянцевое	современный	2 года	Россия	18,052	0,153	универсальная	бытовая	Hettich	встроенный органайзер в верхнем ящике, механизм открывания  push-to-open	1 ящик		Подвесная современная коллекция	https://cloud.mail.ru/public/sZfs/wWrEBpEtS	14600
99.0807	Тумба PERFECTO, 70 см, подвесная, 1 ящик, push-to-open, белый глянец	тумбы	Dreja	склад		белый	тумбы	4670015117510	Perfecto	670	502	453	подвесной	ЛДСП	МДФ	глянцевое	современный	2 года	Россия	19,831	0,179	универсальная	бытовая	Hettich	встроенный органайзер в верхнем ящике, механизм открывания  push-to-open	1 ящик		Подвесная современная коллекция	https://cloud.mail.ru/public/8v6T/MCR45Dmhh	15400
99.0808	Тумба PERFECTO, 90 см, подвесная, 1 ящик, push-to-open, белый глянец	тумбы	Dreja	склад		белый	тумбы	4670015117527	Perfecto	870	502	462	подвесной	ЛДСП	МДФ	глянцевое	современный	2 года	Россия	28,109	0,235	универсальная	бытовая	Hettich	встроенный органайзер в верхнем ящике, механизм открывания  push-to-open	1 ящик		Подвесная современная коллекция	https://cloud.mail.ru/public/8xSH/QodBJJVNA	17400
99.0809	Пенал PERFECTO, 35 см, подвесной/напольный, универсальный, 2 дверцы, push-to-open, 4 стеклянные полки, белый глянец	пеналы	Dreja	склад		белый	пеналы	4670015117411	Perfecto	350	1720	350	подвесной/напольный	ЛДСП	МДФ	глянцевое	современный	2 года	Россия	31,4584	0,252	универсальная	бытовая	Hettich	механизм открывания push-to-open	2 дверцы, 4 стеклянные полки		Подвесная/напольная современная коллекция	https://cloud.mail.ru/public/EvjD/EsqRYwM3d	25900
99.0810	Полупенал PERFECTO, 35 см, подвесной, правый, 1 дверца, push-to-open, 1 стеклянная полка, белый глянец	полупеналы	Dreja	склад		белый	полупеналы	4670015117435	Perfecto	347	770	353	подвесной	ЛДСП	МДФ	глянцевое	современный	2 года	Россия	15,853	0,115	универсальная	бытовая	Hettich	механизм открывания push-to-open	1 дверца, 1 стеклянная полка		Подвесная современная коллекция	https://cloud.mail.ru/public/cvaJ/VGZhpiREV	12200
99.9300	Тумба PRIME, 60 см, подвесная/напольная, 2 ящика, белый глянец	тумбы	Dreja	склад		белый	тумбы	4670015117534	Prime	570	655	450	подвесной/напольный	МДФ	МДФ	глянцевое	современный	2 года	Россия	26,8058	0,197	универсальная	бытовая	Hettich	встроенный органайзер в верхнем ящике	2 ящика		Подвесная/напольная современная коллекция	https://cloud.mail.ru/public/6cJE/dTigLw7NX	33900
99.9301	Тумба PRIME, 70 см, подвесная/напольная, 2 ящика, белый глянец	тумбы	Dreja	склад		белый	тумбы	4670015117541	Prime	670	655	450	подвесной/напольный	МДФ	МДФ	глянцевое	современный	2 года	Россия	29,3941	0,230	универсальная	бытовая	Hettich	встроенный органайзер в верхнем ящике	2 ящика		Подвесная/напольная современная коллекция	https://cloud.mail.ru/public/tb7L/iUNZTYEkU	35900
99.9302	Тумба PRIME, 90 см, подвесная/напольная, 2 ящика, белый глянец	тумбы	Dreja	склад		белый	тумбы	4670015117558	Prime	870	655	450	подвесной/напольный	МДФ	МДФ	глянцевое	современный	2 года	Россия	34,5356	0,296	универсальная	бытовая	Hettich	встроенный органайзер в верхнем ящике	2 ящика		Подвесная/напольная современная коллекция	https://cloud.mail.ru/public/2jjT/SEt67hyte	38900
99.9303	Пенал PRIME, 35 см, подвесной/напольный, универсальный, 1 дверца, 4 стеклянные полки, белый глянец	пеналы	Dreja	склад		белый	пеналы	4670015117428	Prime	350	1545	350	подвесной/напольный	МДФ	МДФ	глянцевое	современный	2 года	Россия	30,47424	0,236	универсальная	бытовая	Hettich		1 дверца, 4 стеклянные полки		Подвесная/напольная современная коллекция	https://cloud.mail.ru/public/Evz8/JdiLaQbx7	29900
99.9304	Шкаф зеркальный PRIME, 60 см, 2 дверцы, 2 стеклянные полки, белый	зеркальные шкафы	Dreja	склад		белый	зеркальные шкафы	4670015117572	Prime	600	700	141	подвесной	МДФ	МДФ+зеркало	глянцевое	современный	2 года	Россия	19,0506	0,087	универсальная	бытовая	Hettich		2 дверцы, 2 стеклянные полки		Современная коллекция	https://cloud.mail.ru/public/addD/MXE3gfRwB	12900
