Артикул	Бренд	Наименование	Тип изделия	ОПТОВАЯ ЦЕНА руб.	РОЗНИЧНАЯ ЦЕНА руб.	Коллекция	Ширина основного изделия .мм	Высота основного изделия .мм	Глубина основного изднлия .мм	Высота тумбы  без раковины, мм	Ширина тумбы  без раковины, мм	Глубина тумбы  без раковины и ручек, мм	Материал корпуса	Покрытие корпуса	Материал фасада	Покрытие фасада	Цвет	Материал раковины	Материал столешницы	Подсветка	Тип лампы	Мощность лампы	Наличие бельевой корзины	Фурнитура	Петли	Доводчики	Направляющие 	Push-to-open	Система хранения	Способ монтажа	Что внутри упаковки	Ширина упаковки, м	Высота упаковки, м	Глубина упаковки, м	Объём, м. куб.	Вес брутто (коробка №1), кг 	Штрихкод	Что внутри упаковки (Коробка №2)	Ширина упаковки (коробка №2), м	Высота упаковки (коробка №2), м	Глубина упаковки  (коробка №2), м	Вес брутто (коробка №2), кг	Объём (коробка №2), м. куб	Штрихкод груз. Места  (коробка №2)	Что внутри упаковки (Коробка №3)	Ширина упаковки (коробка№3), м	Высота упаковки (коробка№3), м	Глубина упаковки (коробка№3), м	Вес брутто грузового места (коробка№3), кг	Объём (коробка №3), м. куб	Штрихкод груз. места	Общий вес ,кг	Общий Объём , м. куб	Количество коробок	Страна происхождения	Гарантия	Дополнительное описание	Инструкция	Схема подключения	Ссылка на фотографии	Схема	Видеоролик	Доп. Фотография 0	Доп. Фотография 1	Доп. Фотография 2	Доп. Фотография 3	Доп. Фотография 4	Доп. Фотография 5	Доп. Фотография 6	Доп. Фотография 7	Доп. Фотография 8	Доп. Фотография 9	Доп. Фотография 10	Доп. Фотография 11	Доп. Фотография 12	Доп. Фотография 13	Доп. Фотография 14
00004144209	Comforty 	COMFORTY. Зеркало-шкаф "Амстердам-75" белый	Зеркало-шкаф	8200	11400	Амстердам	750	800	170								Белый			Нет	-	-	-	-	Hettich/Comforty	Hettich/Comforty	-	-	-	-	Зеркало-шкаф	0,77	0,82	0,24	0,116	22,7	4630015257760															22,3	0,116	1	Россия	2 года	Название: Зеркало-шкаф Артикул: Амстердам 75 Варианты цвета корпуса: белый глянец Материал корпуса: влагостойкое ЛДСП Габариты (ШхВхГ): 750*800*170 мм Зеркальное высококачественное полотно с амальгамой на основе серебра. Створка оснащена петлями с плавным закрыванием. За створкой две горизонтальные полки. Зеркало-шкаф универсально, может быть подвешено в правом и левом варианте. Отверстие под ручку не просверлено, с внутренней стороны дверцы нанесена разметка.	https://www.domotex.ru/documents/Manual-Comforty01102019.pdf	-	https://disk.yandex.ru/d/cYADXbV2I4iS7A	http://www.domotex.ru/upload/iblock/447/osd5ju936y1khdmbf6x89hdpc24dxqtx.jpg	-	https://cdn1.ozone.ru/s3/multimedia-7/6256971139.jpg	https://cdn1.ozone.ru/s3/multimedia-a/6256971142.jpg	https://cdn1.ozone.ru/s3/multimedia-b/6256971143.jpg	https://cdn1.ozone.ru/s3/multimedia-5/6256971137.jpg	https://cdn1.ozone.ru/s3/multimedia-9/6256971141.jpg	https://cdn1.ozone.ru/s3/multimedia-c/6256971144.jpg	https://cdn1.ozone.ru/s3/multimedia-8/6256971140.jpg	https://cdn1.ozone.ru/s3/multimedia-r/6256847607.jpg	https://cdn1.ozone.ru/s3/multimedia-3/6256971135.jpg						
00003130382	Comforty 	COMFORTY. Зеркало "Версаль-90" слоновая кость	Зеркала	7300	10200	Версаль	900	900	20								Слоновая кость			Нет	-	-	-	-					-	-	Зеркало	0,95	0,95	0,02	0,082	12	4630015252642	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	-	1	Россия	2 года	Название: Зеркало Артикул: Версаль 90 Варианты цвета рамы: Слоновая кость Материал рамы: МДФ Габариты (ШхВхГ): 900*900*20 мм Зеркальное высококачественное полотно с амальгамой на основе серебра	https://www.domotex.ru/documents/Manual-Comforty01102019.pdf	-	https://disk.yandex.ru/d/pduD9hxGEiRTfQ	http://www.domotex.ru/upload/iblock/907/rc8f5424tb4x8glc9fwlpha812a9f2rh/B00003130382.jpg	-	https://cdn1.ozone.ru/s3/multimedia-r/6139451571.jpg	https://cdn1.ozone.ru/s3/multimedia-h/6139451813.jpg	https://cdn1.ozone.ru/s3/multimedia-l/6139452033.jpg	https://cdn1.ozone.ru/s3/multimedia-x/6359471193.jpg											
00003130383	Comforty 	COMFORTY. Тумба-умывальник "Версаль-90" слоновая кость с раковиной COMFORTY JS90	Тумбы-умывальники	38600	54000	Версаль	860	860	580								Слоновая кость				-	-	-	-					-	-	Тумба	0,94	0,84	0,52	0,41	40,1	4630015252659	Раковина	0,96	0,3	0,6	31,5	0,103	4660002487627	-	-	-	-	-	-	-	0	0,513	2	Россия	2 года	Название: Тумба-умывальник Артикул: Версаль 90 Варианты цвета корпуса: Слоновая кость Материал корпуса: влагостойкое ЛДСП Цвет фасада: Слоновая кость Материал фасада: МДФ Габариты (ШхВхГ): 860*860*580 мм Комплектация: раковина COMFORTY JS90 (санфаянс) Тумба с двумя створками оснащенными петлями с плавным закрыванием. Фасады окрашены эмалью оттенка Слоновая кость.	https://www.domotex.ru/documents/Manual-Comforty01102019.pdf	-	https://disk.yandex.ru/d/29-qLOJRpWaIJg	http://www.domotex.ru/upload/iblock/8d9/mqry1u5t2p14tvyc0y9sky7ctawbk4ta/B00003130383.jpg		https://cdn1.ozone.ru/s3/multimedia-g/6139451704.jpg	https://cdn1.ozone.ru/s3/multimedia-x/6139451721.jpg	https://cdn1.ozone.ru/s3/multimedia-0/6139451724.jpg	https://cdn1.ozone.ru/s3/multimedia-u/6139451754.jpg	https://cdn1.ozone.ru/s3/multimedia-h/6139451813.jpg	https://cdn1.ozone.ru/s3/multimedia-i/6139451958.jpg	https://cdn1.ozone.ru/s3/multimedia-q/6139452074.jpg	https://cdn1.ozone.ru/s3/multimedia-t/6139452365.jpg	https://cdn1.ozone.ru/s3/multimedia-p/6139452397.jpg	https://cdn1.ozone.ru/s3/multimedia-l/6139452033.jpg	https://cdn1.ozone.ru/s3/multimedia-x/6359471193.jpg				
00003132631	Comforty 	COMFORTY. Зеркало "Тбилиси-70" белый глянец	Зеркала	6500	9100	Тбилиси	700	800	116								Белый глянец			Нет	-	-	-	-					-	-	Зеркало	0,76	0,89	0,156	0,088	14,2	4630015253403	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14,2	-	1	Россия	2 года	Название: Зеркало с полкой Артикул: Тбилиси 70 Варианты цвета корпуса: Белый Глянец Материал корпуса: ЛДСП Цвет фасада: Белый глянец Материал фасада: МДФ Габариты (ШхВхГ): 700*800*116 мм Зеркальное высококачественное полотно с амальгамой на основе серебра	https://www.domotex.ru/documents/Manual-Comforty01102019.pdf	-	https://disk.yandex.ru/d/CIOJkH9dYyTUew	http://www.domotex.ru/upload/iblock/987/ryngurtxima0ffsezbv12libo6brwyy4.jpg	-	https://cdn1.ozone.ru/s3/multimedia-3/6258764295.jpg	https://cdn1.ozone.ru/s3/multimedia-5/6258764297.jpg	https://cdn1.ozone.ru/s3/multimedia-d/6258764305.jpg	https://cdn1.ozone.ru/s3/multimedia-7/6258764299.jpg	https://cdn1.ozone.ru/s3/multimedia-9/6258764301.jpg	https://cdn1.ozone.ru/s3/multimedia-4/6258764296.jpg	https://cdn1.ozone.ru/s3/multimedia-6/6258764298.jpg								
00003132629	Comforty 	COMFORTY. Тумба-умывальник "Тбилиси-70" белый глянец с раковиной COMFORTY XD-F70	Тумбы-умывальники	21300	29700	Тбилиси	720	850	440	830	670	440					Белый глянец				-	-	-	-					-	-	Тумба	0,72	0,52	0,5	0,187	17,5		Раковина	0,74	0,48	0,23	16,62	0,082	4660002488266	-	-	-	-	-	-	-	48,7	0,269	2	Россия	2 года	Название: Тумба-умывальник Артикул: Тбилиси 70 Варианты цвета корпуса: Белый Глянец Материал корпуса: ЛДСП Цвет фасада: Белый глянец Материал фасада: МДФ Габариты (ШхВхГ): 720*850*440 мм Комплектация: раковина Comforty XD-F70 (санфаянс) Тумба с двумя створками оснащенными петлями с плавным закрыванием. Фасады покрыты белой глянцевой эмалью. 	https://www.domotex.ru/documents/Manual-Comforty01102019.pdf	-	https://disk.yandex.ru/d/j0kuIrb1FrrRjw	http://www.domotex.ru/upload/iblock/b7c/cw1hey05xl9smhxz5075ufwsm8iy0dni.jpg	https://www.youtube.com/embed/tD95V1-iUDQ	https://cdn1.ozone.ru/s3/multimedia-y/6258777430.jpg	https://cdn1.ozone.ru/s3/multimedia-f/6258777447.jpg	https://cdn1.ozone.ru/s3/multimedia-e/6258777446.jpg	https://cdn1.ozone.ru/s3/multimedia-g/6258777448.jpg	https://cdn1.ozone.ru/s3/multimedia-p/6139451965.jpg	https://cdn1.ozone.ru/s3/multimedia-o/6139451820.jpg	https://cdn1.ozone.ru/s3/multimedia-w/6139451720.jpg	https://cdn1.ozone.ru/s3/multimedia-7/6258764299.jpg	https://cdn1.ozone.ru/s3/multimedia-9/6258764301.jpg	https://cdn1.ozone.ru/s3/multimedia-1/6139452013.jpg	https://cdn1.ozone.ru/s3/multimedia-w/6258777428.jpg	https://cdn1.ozone.ru/s3/multimedia-4/6258764296.jpg			
00-00005793	Comforty 	Тумба-умывальник Comforty Никосия-70Н дуб белый с раковиной COMO 70	Тумбы-умывальники	18300	25500	Никосия	700	860	450	788	656	430	ВЛДСП	матовое	ВЛДСП	матовое	Дуб белый	Санфарфор					Нет	Хром					3 ящика	Напольный	Тумба	0,72	0,7	0,49	0,25	29,5		Раковина	0,74	0,2	0,5	17,42	0,074	4690311050410	-	-	-	-	-	-	-	46,92	-	2	Россия	2 года	Название: Тумба-умывальник Артикул: Никосия 70Н Варианты цвета корпуса и фасадов: Дуб белый Материал корпуса и фасадов: влагостойкое ЛДСП Габариты (ШхВхГ): 700*860*450 мм Комплектация: керамическая раковина Como 70 (санитарный фарфор) Напольная тумба с тремя выдвижными ящиками, оснащенными системой плавного закрывания. Оригинальные эргономичные металлические ручки.	https://www.domotex.ru/documents/Manual-Comforty01102019.pdf	-	https://disk.yandex.ru/d/7h4w6pfd9HlFqQ		https://www.youtube.com/embed/K4SufOpugQI	https://cdn1.ozone.ru/s3/multimedia-l/6139451709.jpg	https://cdn1.ozone.ru/s3/multimedia-u/6139451718.jpg	https://cdn1.ozone.ru/s3/multimedia-b/6139451771.jpg	https://cdn1.ozone.ru/s3/multimedia-i/6139451742.jpg	https://cdn1.ozone.ru/s3/multimedia-2/6139451798.jpg	https://cdn1.ozone.ru/s3/multimedia-e/6139451810.jpg	https://cdn1.ozone.ru/s3/multimedia-d/6139451701.jpg	https://cdn1.ozone.ru/s3/multimedia-8/6139451732.jpg	https://cdn1.ozone.ru/s3/multimedia-8/6139451840.jpg	https://cdn1.ozone.ru/s3/multimedia-b/6139451843.jpg	https://cdn1.ozone.ru/s3/multimedia-5/6359478329.jpg				
00-00005792	Comforty 	Тумба-умывальник Comforty Никосия-70П дуб белый с раковиной COMO 70	Тумбы-умывальники	15600	21800	Никосия	700	550	450	460	656	430	ВЛДСП	матовое	ВЛДСП	матовое	Дуб белый	Санфарфор					Нет	Хром					2 ящика	Подвесной	Тумба	0,72	0,52	0,49	0,183	22,1		Раковина	0,74	0,2	0,5	17,42	0,074	4690311050410	-	-	-	-	-	-	-	39,52	-	2	Россия	2 года	Название: Тумба-умывальник Артикул: Никосия 70П Варианты цвета корпуса и фасадов: Дуб белый Материал корпуса и фасадов: влагостойкое ЛДСП Габариты (ШхВхГ): 700*550*450 мм Комплектация: керамическая раковина Como 70 (санитарный фарфор) Подвесная тумба с двумя выдвижными ящиками оснащенными системой плавного закрывания. Оригинальные эргономичные металлические ручки.	https://www.domotex.ru/documents/Manual-Comforty01102019.pdf	-	https://disk.yandex.ru/d/dKKYD2RqmYBduw		https://www.youtube.com/embed/diLuh5EI8gA	https://cdn1.ozone.ru/s3/multimedia-b/6139451699.jpg	https://cdn1.ozone.ru/s3/multimedia-x/6139451793.jpg	https://cdn1.ozone.ru/s3/multimedia-n/6139451747.jpg	https://cdn1.ozone.ru/s3/multimedia-n/6139451711.jpg	https://cdn1.ozone.ru/s3/multimedia-d/6139451701.jpg	https://cdn1.ozone.ru/s3/multimedia-4/6139451728.jpg	https://cdn1.ozone.ru/s3/multimedia-y/6139451722.jpg	https://cdn1.ozone.ru/s3/multimedia-p/6139451713.jpg	https://cdn1.ozone.ru/s3/multimedia-8/6139451732.jpg	https://cdn1.ozone.ru/s3/multimedia-9/6139451769.jpg	https://cdn1.ozone.ru/s3/multimedia-2/6359479118.jpg				
00-00006118	Comforty 	Тумба-умывальник подвесная Comforty Осло-70ПД бетон светлый с раковиной COMO 70	Тумбы-умывальники	12500	17500	Осло	700	550	450				ВЛДСП	матовое	ВЛДСП	матовое	Бетон светлый	Санфарфор					Нет						2 створки	Подвесной	Тумба	0,72	0,58	0,49	0,204	15		Раковина	0,74	0,2	0,5	17,42	0,074	4690311050410	-	-	-	-	-	-	-	32,42	-	2	Россия	2 года	Название: Тумба-умывальник Артикул: Осло 70ПД Варианты цвета: Бетон светлый Материал корпуса и фасада: влагостойкое ЛДСП Габариты (ШхВхГ): 700*550*450 мм Комплектация: раковина Como 70 (санфарфор) Подвесная тумба-умывальник с двумя распашными створками. Петли створок оснащены механизмами плавного закрывания. Тумба подготовлена для подключения водоснабжения снизу.	https://www.domotex.ru/documents/Manual-Comforty01102019.pdf	-	https://disk.yandex.ru/d/z9wsou6krFpHbg	http://www.domotex.ru/upload/iblock/948/8eca1b4k6p09tsh4k7n1i1f6gxudn3og.jpg	https://www.youtube.com/embed/4V7UUZnhR6U	https://cdn1.ozone.ru/s3/multimedia-h/6227062817.jpg	https://cdn1.ozone.ru/s3/multimedia-b/6227062811.jpg	https://cdn1.ozone.ru/s3/multimedia-2/6227062802.jpg	https://cdn1.ozone.ru/s3/multimedia-3/6227062803.jpg	https://cdn1.ozone.ru/s3/multimedia-5/6227062805.jpg	https://cdn1.ozone.ru/s3/multimedia-i/6227061918.jpg	https://cdn1.ozone.ru/s3/multimedia-f/6227062815.jpg	https://cdn1.ozone.ru/s3/multimedia-i/6227062818.jpg	https://cdn1.ozone.ru/s3/multimedia-d/6227062813.jpg	https://cdn1.ozone.ru/s3/multimedia-q/6139451858.jpg	https://cdn1.ozone.ru/s3/multimedia-1/6227062801.jpg	https://cdn1.ozone.ru/s3/multimedia-o/6227062824.jpg			
00-00006117	Comforty 	Тумба-умывальник напольная Comforty Осло-70НД бетон светлый с раковиной COMO 70	Тумбы-умывальники	14000	19500	Осло	700	850	450				ВЛДСП	матовое	ВЛДСП	матовое	Бетон светлый	Санфарфор					Нет						2 створки	Напольный	Тумба	0,72	0,8	0,49	0,282	21,5		Раковина	0,74	0,2	0,5	17,42	0,074	4690311050410	-	-	-	-	-	-	-	38,92	-	2	Россия	2 года	Название: Тумба-умывальник Артикул: Осло 70НД Варианты цвета: Бетон светлый Материал корпуса и фасада: влагостойкое ЛДСП Габариты (ШхВхГ): 700*850*450 мм Комплектация: раковина Como 70 (санфарфор), две ножки. Напольная тумба-умывальник с двумя распашными створками. Петли створок оснащены механизмами плавного закрывания. Тумба подготовлена для подключения водоснабжения снизу. 	https://www.domotex.ru/documents/Manual-Comforty01102019.pdf	-	https://disk.yandex.ru/d/qw_pWZGzwI4V2g	http://www.domotex.ru/upload/iblock/b1d/2dcaja3ae8tfgudo7mkzmzmjsc2ghia2.jpg	https://www.youtube.com/embed/zq2Z54Ja--I	https://cdn1.ozone.ru/s3/multimedia-5/6227061905.jpg	https://cdn1.ozone.ru/s3/multimedia-e/6227061914.jpg	https://cdn1.ozone.ru/s3/multimedia-9/6227061909.jpg	https://cdn1.ozone.ru/s3/multimedia-p/6227061925.jpg	https://cdn1.ozone.ru/s3/multimedia-i/6227061918.jpg	https://cdn1.ozone.ru/s3/multimedia-6/6227061906.jpg	https://cdn1.ozone.ru/s3/multimedia-3/6227061903.jpg	https://cdn1.ozone.ru/s3/multimedia-a/6227061910.jpg	https://cdn1.ozone.ru/s3/multimedia-q/6139451858.jpg	https://cdn1.ozone.ru/s3/multimedia-h/6227061917.jpg	https://cdn1.ozone.ru/s3/multimedia-n/6227061923.jpg				
00-00006663	Comforty 	COMFORTY. Зеркало-шкаф "Бордо-90" дуб темно-коричневый	Зеркало-шкаф	7500	10400	Бордо	900	800	200				ВЛДСП	матовое			Дуб темно-коричневый			Нет			-		Hettich/Comforty	Hettich/Comforty	-	-		Подвесной	Зеркало-шкаф	0,96	0,88	0,26	0,22	23	4630100142414	-	-	-	-	-	-	-	-	-	-	-	-	-	-	23	-	1	Россия	2 года	Название: Зеркало-шкаф Артикул: Бордо 90 (правое/левое) универсальное Цвет: Дуб тёмно-коричневый Габариты ШхВхГ: 900х800х200 мм Зеркальное высококачественное полотно с амальгамой на основе серебра. Створка оснащена петлями с системой плавного закрывания. За створкой одна полка.	https://www.domotex.ru/documents/Manual-Comforty01102019.pdf	-	https://disk.yandex.ru/d/FaA5EDXLl4DgEw	http://www.domotex.ru/upload/iblock/732/rel7ll1o262njavt1b9kpmoob2kyzpvb.jpg		https://cdn1.ozone.ru/s3/multimedia-6/6241457478.jpg	https://cdn1.ozone.ru/s3/multimedia-h/6160449137.jpg	https://cdn1.ozone.ru/s3/multimedia-s/6139453156.jpg	https://cdn1.ozone.ru/s3/multimedia-e/6160449134.jpg	https://cdn1.ozone.ru/s3/multimedia-z/6241457507.jpg	https://cdn1.ozone.ru/s3/multimedia-n/6227162759.jpg	https://cdn1.ozone.ru/s3/multimedia-t/6241457501.jpg								
00-00006671	Comforty 	COMFORTY. Тумба-умывальник "Бордо-90" дуб темно-коричневый с раковиной "Quadro 90"	Тумбы-умывальники	19400	27100	Бордо	900	550	470	532	880	460	ВЛДСП	матовое	ВЛДСП	матовое	Дуб темно-коричневый	Санфарфор					Нет						1 выкатной ящик	Подвесной	Тумба	0,95	0,59	0,52	0,29	24,07		Раковина	0,94	0,51	0,22	18,7	0,105	4640043835564	-	-	-	-	-	-	-	42,77	-	2	Россия	2 года	Название: Тумба-умывальник Артикул: Бордо 90 Цвет: Дуб тёмно-коричневый Габариты ШхВхГ: 900х550х470 мм Комплектация: керамическая раковина Quadro 90 Подвесная тумба с ящиком оборудованным системой плавного закрывания и пространством для открытого хранения.	https://www.domotex.ru/documents/Manual-Comforty01102019.pdf	-	https://disk.yandex.ru/d/5RnkVdx-QwDSpA		https://www.youtube.com/embed/QTPgBF-j2_E	https://cdn1.ozone.ru/s3/multimedia-n/6241457855.jpg	https://cdn1.ozone.ru/s3/multimedia-2/6227162774.jpg	https://cdn1.ozone.ru/s3/multimedia-r/6227162799.jpg	https://cdn1.ozone.ru/s3/multimedia-u/6241457862.jpg	https://cdn1.ozone.ru/s3/multimedia-7/6227162779.jpg	https://cdn1.ozone.ru/s3/multimedia-j/6227162791.jpg	https://cdn1.ozone.ru/s3/multimedia-3/6227162775.jpg	https://cdn1.ozone.ru/s3/multimedia-z/6227162771.jpg	https://cdn1.ozone.ru/s3/multimedia-5/6227162777.jpg	https://cdn1.ozone.ru/s3/multimedia-n/6227162759.jpg	https://cdn1.ozone.ru/s3/multimedia-t/6241457501.jpg				
00-00007266	Comforty 	COMFORTY. Шкаф-колонна "Бордо-40" дуб темно-коричневый	Шкаф-колонна	11800	16500	Бордо	400	1600	320				ВЛДСП	матовое	ВЛДСП	матовое	Дуб темно-коричневый						Нет		Hettich/Comforty	Hettich/Comforty	-	-	2 створки	Подвесной	Шкаф-колонна	0,47	1,65	0,39	0,3	35	4630100142568	-	-	-	-	-	-	-	-	-	-	-	-	-	-	35	-	1	Россия	2 года	Название: Шкаф-колонна Артикул: Бордо 40 Цвет: дуб темно-коричневый Габариты (ШхВхГ): 400*1600*320 мм Подвесная шкаф колонна с двумя створками и пространством для открытого хранения. Створки оснащены петлями с плавным закрыванием. Фасады и корпус из влагостойкого ЛДСП Дуб темно-коричневый. За створками по одной регулируемой по высоте полке Шкаф-колонна универсальна, может быть подвешена переворачиванием в правом и левом варианте. 	https://www.domotex.ru/documents/Manual-Comforty01102019.pdf	-	https://disk.yandex.ru/d/S0chb9eYjJhhYw	http://www.domotex.ru/upload/iblock/9a8/p6wcrxsx21920evkz4rxt5lo9tfj8kwp.jpg		https://cdn1.ozone.ru/s3/multimedia-c/6241458096.jpg	https://cdn1.ozone.ru/s3/multimedia-m/6160448206.jpg	https://cdn1.ozone.ru/s3/multimedia-l/6160448205.jpg	https://cdn1.ozone.ru/s3/multimedia-n/6160448207.jpg	https://cdn1.ozone.ru/s3/multimedia-l/6241458105.jpg	https://cdn1.ozone.ru/s3/multimedia-q/6139453190.jpg	https://cdn1.ozone.ru/s3/multimedia-5/6227162777.jpg	https://cdn1.ozone.ru/s3/multimedia-1/6139453957.jpg	https://cdn1.ozone.ru/s3/multimedia-t/6241457501.jpg						
