Артикул	Наименование	Раздел	Производитель	Состояние	Статус	Цвет	Тип	Штрихкод	Коллекция	Ширина	Высота	Глубина	Монтаж	Материал корпуса	Материал фасада	Покрытие	Стиль	Гарантия	Страна сборки	Вес, кг Брутто	Объем, м3 Брутто	Ориентация	Область применения	Фурнитура	Доп. функции	Система хранения	Тип лампы	Описание	Изображение	РРЦ	ОПТ
17060-KL	Умывальник STANCE 60	умывальники	Dreja	склад		белый	умывальники	8682368200807	Stance	600	150	455	подвесной	керамика	керамика	глянцевое	современный	5 лет	Турция	15,4	0,046	универсальная	бытовая					Современная коллекция	https://cloud.mail.ru/public/q9Ve/GpZuquK6j	10990	8242,50
17070-KL	Умывальник STANCE 70	умывальники	Dreja	склад		белый	умывальники	8682368200821	Stance	700	160	455	подвесной	керамика	керамика	глянцевое	современный	5 лет	Турция	19,9	0,054	универсальная	бытовая					Современная коллекция	https://cloud.mail.ru/public/FFTt/xpyNeZSji	12790	9592,50
17085-KL	Умывальник STANCE 85	умывальники	Dreja	склад		белый	умывальники	8682368200838	Stance	850	160	455	подвесной	керамика	керамика	глянцевое	современный	5 лет	Турция	22,7	0,068	универсальная	бытовая					Современная коллекция	https://cloud.mail.ru/public/DrMh/H4WPVkDrV	15990	11992,50
17100-KL	Умывальник STANCE 100	умывальники	Dreja	склад		белый	умывальники	8682368200845	Stance	980	150	465	подвесной	керамика	керамика	глянцевое	современный	5 лет	Турция	26	0,082	универсальная	бытовая					Современная коллекция	https://cloud.mail.ru/public/HSCr/4VDar9c1z	21990	16492,50
17120-KL	Умывальник STANCE 120	умывальники	Dreja	склад		белый	умывальники	8682368201002	Stance	1200	150	455	подвесной	керамика	керамика	глянцевое	современный	5 лет	Турция	36,6	0,100	универсальная	бытовая					Современная коллекция	https://cloud.mail.ru/public/Kb2i/pMeg4qUdN	32990	24742,50
13055-KL	Умывальник SOFT 55	умывальники	Dreja	склад		белый	умывальники	8682368200678	Soft	550	155	455	подвесной	керамика	керамика	глянцевое	современный	5 лет	Турция	13,95	0,041	универсальная	бытовая					Современная коллекция	https://cloud.mail.ru/public/ppCR/o1ecK7oxE	7990	5992,50
13065-KL	Умывальник SOFT 65	умывальники	Dreja	склад		белый	умывальники	8682368200685	Soft	650	160	455	подвесной	керамика	керамика	глянцевое	современный	5 лет	Турция	16	0,051	универсальная	бытовая					Современная коллекция	https://cloud.mail.ru/public/qDG8/8SH8LA2wy	8490	6367,50
13080-KL	Умывальник SOFT 80	умывальники	Dreja	склад		белый	умывальники	8682368200692	Soft	800	160	455	подвесной	керамика	керамика	глянцевое	современный	5 лет	Турция	20	0,064	универсальная	бытовая					Современная коллекция	https://cloud.mail.ru/public/XBe3/XdzNPnqea	10190	7642,50
13090-KL	Умывальник SOFT 90	умывальники	Dreja	склад		белый	умывальники	8682368200708	Soft	895	160	455	подвесной	керамика	керамика	глянцевое	современный	5 лет	Турция	21	0,073	универсальная	бытовая					Современная коллекция	https://cloud.mail.ru/public/NFNq/5PHQ2Su9Z	12290	9217,50
13100-KL	Умывальник SOFT 100	умывальники	Dreja	склад		белый	умывальники	8682368200715	Soft	1010	165	455	подвесной	керамика	керамика	глянцевое	современный	5 лет	Турция	23,7	0,083	универсальная	бытовая					Современная коллекция	https://cloud.mail.ru/public/8uFR/iSV74tXbV	13890	10417,50
