Раздел	Производитель	Основное название товара	Артикул товара поставщика для обновления остатков и цен	Масса изделия с упаковкой (кг)	Объем изделия в упаковке (м3)	Количество упаковок (мест)	Коллекция (Серия)	раковина | полупьедестал | пьедестал | кронштейны | ножки и опоры | полотенцедержатель | крепеж	Глубина стиральной машины, мм	Закупочная цена		Цена продажи		Ширина изделия по крайним точкам	Размер изделия от задней стенки до лицевой стороны	Высота изделия по крайним точкам	на стену | на столешницу | на пол | на мебель	да, возможна | нет, не возможна 	да, возможна | нет, не возможна 	да, возможна | нет, не возможна | пьедестал в комплекте | ножки в комплекте	да, возможна | нет, не возможна | полупьедестал в комплекте	да | нет 	есть | нет 	без отверстий | с 1 отверстием | с 2 отверстиями | с 3 отверстиями	искусственный камень | искусственный мрамор | стекло | фарфор | фаянс |  сталь	1 чаша | 2 чаши	да | нет 	квадратная | круглая | овальная | прямоугольная | округлая | треугольная	классический (ретро) | современный стиль (Hi-Tech) | традиционный	значение соответствия	 (месяцев)	страна	да | нет 	слева | справа | с двух сторон	по центру | слева | справа | любое	Если отличается от кода поставщика		Описание		ссылка на инструкцию	ссылка на инструкцию	ссылка на инструкцию	ФОТО 1	ФОТО 2	ФОТО 3	ФОТО 4	ФОТО 5	ФОТО 6	ФОТО 7	ФОТО 8	ФОТО 9	Ссылка на фото 1	Ссылка на фото 2	Ссылка на фото 3	Ссылка на фото 4	Ссылка на фото 5	Ссылка на фото 6	Ссылка на фото 7	Ссылка на фото 8	Ссылка на фото 9
Раковины над стиральной машиной	Stella Polar	Раковина над стиральной машиной Берта 60*55, черный мрамор	SP-00001403	20,4	0,076	1	Берта	раковина	До 445	8980	руб	12980	руб	60,0	55,5	9,6	на стену	да, возможна	нет, не возможна	нет, не возможна	нет, не возможна	нет	нет	с 1 отверстием	искусственный мрамор	1 чаша	да	квадратная	 современный стиль (Hi-Tech)	черный мрамор	48	Россия	нет		по центру	SP-00001403	4680188831908	Ультрасовременная раковина в ванную комнату для установки над стиральной машинкой с щелевым сливом. Крепится на кронштейны, которые входят в комплект поставки. Верхний слой высококачественного гелькоута образует декоративно-защитное покрытие.  	https://drive.google.com/drive/folders/1pXmkNmJ9_AsbOM3V_cdWC7KGSt8Vcmx8?usp=sharing	https://drive.google.com/open?id=1Ei-akWnWrB15KgSudygG6jlkFJKdphvE	https://drive.google.com/open?id=1JNDxncyVQMpXyE2BFAnkyEoinL1KzGOR	https://drive.google.com/open?id=1JNDxncyVQMpXyE2BFAnkyEoinL1KzGOR	SP-00001403.jpg	SP-00001403_1.jpg	SP-00001403_2.jpg	SP-00001403_3.jpg	SP-00001403_4.jpg	SP-00001403_5.jpg	SP-00001403_6.jpg			https://drive.google.com/file/d/1spYhFDUuLWpvbkX7ouPy0g3wYGnf276_/view?usp=share_link	https://drive.google.com/file/d/1oOL8KmPUInPKahWo-10iZ-uGZgbYCA4b/view?usp=share_link	https://drive.google.com/file/d/1A44b48Yzf-NMR3ehtSpZbaQzYExZS2_1/view?usp=share_link	https://drive.google.com/file/d/1yobqhfRpb00ZAXbi_QDW76QiXuL1Xnfi/view?usp=share_link	https://drive.google.com/file/d/12pNWSW76bhs1UhzQDCVDAK6iSgNFw3mk/view?usp=share_link	https://drive.google.com/file/d/1g1c7OGmb5PvB-YPAMcv8ABmhsZyhsHXT/view?usp=share_link	https://drive.google.com/file/d/1cNxB13SKqL3k0yGHIOXG_SeupoUP-ZCy/view?usp=share_link		
Раковины над стиральной машиной	Stella Polar	Раковина над стиральной машиной Корини 60*51 с 2 подстаканниками	SP-00001059	19,1	0,11	1	Корини	раковина	До 380	9530	руб	13780	руб	60,0	50,5	14,5	на стену	да, возможна	нет, не возможна	нет, не возможна	нет, не возможна	нет	нет	с 1 отверстием	искусственный мрамор	1 чаша	да	квадратная	 современный стиль (Hi-Tech)	белый	48	Россия	нет		по центру	SP-00001059	4680188831915	Раковина в ванную комнату для установки над стиральной машинкой. Крепится на кронштейны, которые входят в комплект поставки. Верхний слой высококачественного гелькоута образует декоративно-защитное покрытие.  Раковина оснащена двумя подстаканниками	https://drive.google.com/drive/folders/1H-3rKdEa7iVyVAkBKnm1sqXBL4sAEGc4?usp=sharing	https://drive.google.com/open?id=1Ei-akWnWrB15KgSudygG6jlkFJKdphvE	https://drive.google.com/open?id=1JNDxncyVQMpXyE2BFAnkyEoinL1KzGOR	https://drive.google.com/open?id=1JNDxncyVQMpXyE2BFAnkyEoinL1KzGOR	SP-00001059.jpg	SP-00001059_1.jpg	SP-00001059_2.jpg	SP-00001059_3.jpg						https://drive.google.com/file/d/1d8pd0jA0-jVx4YjuZyDeDcmYsUTTYFKr/view?usp=share_link	https://drive.google.com/file/d/1JEA1QTIudy7JvQ_3s2opRKU9TNTLiXcB/view?usp=share_link	https://drive.google.com/file/d/11AVJQurfyVwGs60aS_5WWDeD6OxQXC7V/view?usp=share_link	https://drive.google.com/file/d/1oGScgurkHFxD7CkIKqGBF82ygCt8cP6p/view?usp=share_link					
Раковины над стиральной машиной	Stella Polar	Раковина над стиральной машиной Мадлен 105, левая	SP-00001367	17,7	0,130	1	Мадлен	раковина	До 470	6990	руб	10120	руб	105,3	48,5	14,3	на стену	да, возможна	да, возможна	нет, не возможна	нет, не возможна	нет	нет	с 1 отверстием	искусственный мрамор	1 чаша	нет	прямоугольная	 современный стиль (Hi-Tech)	белый	48	Россия	да	справа	слева	SP-00001367	4680188831922	Раковина  для ванной комнаты для установки над стиральной машинкой. Верхний слой Гелькоута формирует декоративно защитное покрытие. Раковина крепится на кронштейны. Может эксплуатироваться как самостоятельное изделие, так и со встроенной мебелью.	https://drive.google.com/drive/folders/1ovbnPXhi3XJdey-YIZV0gm_BAls33L1Q?usp=sharing	https://drive.google.com/open?id=1Ei-akWnWrB15KgSudygG6jlkFJKdphvE	https://drive.google.com/open?id=1JNDxncyVQMpXyE2BFAnkyEoinL1KzGOR	https://drive.google.com/open?id=1JNDxncyVQMpXyE2BFAnkyEoinL1KzGOR	SP-00001367.jpg	SP-00001367_1.jpg	SP-00001367_2.png	SP-00001367_3.jpg						https://drive.google.com/file/d/1f0tW32ZT7R-anKEIZQkEVedcEqK7O-Bf/view?usp=share_link	https://drive.google.com/file/d/1kgo6_lYmtSC7Jev0dzEHM_9yk_BMDpa-/view?usp=share_link	https://drive.google.com/file/d/1XW7lJPkqLt-ZmJ5upw_L0D_sv8c8bZZW/view?usp=share_link	https://drive.google.com/file/d/1Y1rO1YxecRfXWvmpn12HcGqgWSS9Ql53/view?usp=share_link					
Раковины над стиральной машиной	Stella Polar	Раковина над стиральной машиной Мадлен 105, правая	SP-00001368	17,7	0,130	1	Мадлен	раковина	До 470	6990	руб	10120	руб	105,3	48,5	14,3	на стену	да, возможна	да, возможна	нет, не возможна	нет, не возможна	нет	нет	с 1 отверстием	искусственный мрамор	1 чаша	нет	прямоугольная	 современный стиль (Hi-Tech)	белый	48	Россия	да	слева	справа	SP-00001368	4680188831939	Раковина  для ванной комнаты для установки над стиральной машинкой. Верхний слой Гелькоута формирует декоративно защитное покрытие. Раковина крепится на кронштейны. Может эксплуатироваться как самостоятельное изделие, так и со встроенной мебелью.	https://drive.google.com/drive/folders/1FWU-hYE1gvFoU1AxfW-vNZvYhBPkevHo?usp=sharing	https://drive.google.com/open?id=1Ei-akWnWrB15KgSudygG6jlkFJKdphvE	https://drive.google.com/open?id=1JNDxncyVQMpXyE2BFAnkyEoinL1KzGOR	https://drive.google.com/open?id=1JNDxncyVQMpXyE2BFAnkyEoinL1KzGOR	SP-00001368.jpg	SP-00001368_1.jpg	SP-00001368_2.jpg	SP-00001368_3.jpg						https://drive.google.com/file/d/1M_1tI_IlFEywHUdKLaQeTPZEdhFWGPwk/view?usp=share_link	https://drive.google.com/file/d/1hM54zxXmwT0nAo1uAkacHznIrEPbpEYU/view?usp=share_link	https://drive.google.com/file/d/1OQO3tU1vIwVbnxcwOjq6CKWTRFuGFG6i/view?usp=share_link	https://drive.google.com/file/d/1DYDyJnMn1qHsOi512Rb-EJuzyurQmgHU/view?usp=share_link					
Раковины над стиральной машиной	Stella Polar	Раковина над стиральной машиной Солярис 60*50, черный металлик	SP-00001339	16,0	0,040	1	Солярис	раковина	До 400	6570	руб	9495	руб	60,5	50,2	10,0	на стену	да, возможна	нет, не возможна	нет, не возможна	нет, не возможна	нет	нет	с 1 отверстием	искусственный мрамор	1 чаша	да	квадратная	 современный стиль (Hi-Tech)	черный металлик	48	Россия	нет		по центру	SP-00001339	4680188831946	Раковина в ванную комнату для установки над стиральной машинкой. Крепится на кронштейны, которые входят в комплект поставки. Верхний слой высококачественного гелькоута образует декоративно-защитное покрытие.  	https://drive.google.com/drive/folders/1m-BL4Zu1H7e_UjQUgBQDnZMlgZb_BwFX?usp=sharing	https://drive.google.com/open?id=1Ei-akWnWrB15KgSudygG6jlkFJKdphvE	https://drive.google.com/open?id=1JNDxncyVQMpXyE2BFAnkyEoinL1KzGOR	https://drive.google.com/open?id=1JNDxncyVQMpXyE2BFAnkyEoinL1KzGOR	SP-00001339.jpg	SP-00001339_1.jpg	SP-00001339_2.jpg	SP-00001339_3.jpg						https://drive.google.com/file/d/19ojGq9ExeufhCZ2dghmRvnWW6bJmQaQD/view?usp=share_link	https://drive.google.com/file/d/1Q82Z6Gljy9cIUVG82v2Q2N8g1nlMtNWE/view?usp=share_link	https://drive.google.com/file/d/1-ZkN2I5xvtpWPu5sqku4BUBKT6L77D4q/view?usp=share_link	https://drive.google.com/file/d/1SyLD15ntAn4hy3HPjLco5xEin7s8QIIC/view?usp=share_link					
Раковины над стиральной машиной	Stella Polar	Раковина над стиральной машиной Солярис 60*55	SP-00001232	16,3	0,045	1	Солярис	раковина	До 440	6730	руб	9730	руб	60,2	54,7	9,8	на стену	да, возможна	нет, не возможна	нет, не возможна	нет, не возможна	нет	нет	с 1 отверстием	искусственный мрамор	1 чаша	да	квадратная	 современный стиль (Hi-Tech)	белый	48	Россия	нет		по центру	SP-00001232	4680188831953	Раковина в ванную комнату для установки над стиральной машинкой. Крепится на кронштейны, которые входят в комплект поставки. Верхний слой высококачественного гелькоута образует декоративно-защитное покрытие.  	https://drive.google.com/drive/folders/1yv4j5zFJazWysNgP9qiZZU1pp_9lpfuJ?usp=sharing	https://drive.google.com/open?id=1Ei-akWnWrB15KgSudygG6jlkFJKdphvE	https://drive.google.com/open?id=1JNDxncyVQMpXyE2BFAnkyEoinL1KzGOR	https://drive.google.com/open?id=1JNDxncyVQMpXyE2BFAnkyEoinL1KzGOR	SP-00001232.jpg	SP-00001232_1.jpg	SP-00001232_2.jpg	SP-00001232_3.jpg						https://drive.google.com/file/d/1RCiM3kfofQz7JnNx6kyERs3M6L3OoSDt/view?usp=share_link	https://drive.google.com/file/d/1SwG7jpAjxb1fAjcabW2M7drjoKR14Voi/view?usp=share_link	https://drive.google.com/file/d/1RqpAYEOJyjhmSs9nnNwEBSpgByfuIMTG/view?usp=share_link	https://drive.google.com/file/d/1UiXskg0EV5AczmfDnHvM08Lo3L5h4lSW/view?usp=share_link					
Раковины над стиральной машиной	Stella Polar	Раковина над стиральной машиной Солярис 60*55, черный металлик	SP-00001340	16,3	0,045	1	Солярис	раковина	До 440	6730	руб	9730	руб	60,2	54,7	9,8	на стену	да, возможна	нет, не возможна	нет, не возможна	нет, не возможна	нет	нет	с 1 отверстием	искусственный мрамор	1 чаша	да	квадратная	 современный стиль (Hi-Tech)	черный металлик	48	Россия	нет		по центру	SP-00001340	4680188831960	Раковина в ванную комнату для установки над стиральной машинкой. Крепится на кронштейны, которые входят в комплект поставки. Верхний слой высококачественного гелькоута образует декоративно-защитное покрытие.  	https://drive.google.com/drive/folders/1CVRNIgHWt6vzeJWg4BgdkAqUBiCejFll?usp=sharing	https://drive.google.com/open?id=1Ei-akWnWrB15KgSudygG6jlkFJKdphvE	https://drive.google.com/open?id=1JNDxncyVQMpXyE2BFAnkyEoinL1KzGOR	https://drive.google.com/open?id=1JNDxncyVQMpXyE2BFAnkyEoinL1KzGOR	SP-00001340.jpg	SP-00001340_1.jpg	SP-00001340_2.jpg	SP-00001340_3.jpg						https://drive.google.com/file/d/1jzIsQcdpyxd34mSEyUjSidcqS5pewmp-/view?usp=share_link	https://drive.google.com/file/d/1JQkwlurgs0mdQ_5jWSQILj4psJndJxSy/view?usp=share_link	https://drive.google.com/file/d/1e8jH7UlTViW0tH2ax420jB9bcLvEYFhH/view?usp=share_link	https://drive.google.com/file/d/173x_9tfSPJ3-D9Rz--rUwOwnZU8X85Cy/view?usp=share_link					
Раковины над стиральной машиной	Stella Polar	Раковина над стиральной машиной Солярис 60*60, бежевая	SP-00001065	20,1	0,050	1	Солярис	раковина	До 470	7120	руб	10290	руб	59,9	59,7	10,3	на стену	да, возможна	нет, не возможна	нет, не возможна	нет, не возможна	нет	нет	с 1 отверстием	искусственный мрамор	1 чаша	да	квадратная	 современный стиль (Hi-Tech)	бежевый	48	Россия	нет		по центру	SP-00001065	4680188831977	Раковина в ванную комнату для установки над стиральной машинкой. Крепится на кронштейны, которые входят в комплект поставки. Верхний слой высококачественного гелькоута образует декоративно-защитное покрытие.  	https://drive.google.com/drive/folders/1hF4fujXT7t46wLDEvkS-12_7WXxniLKA?usp=sharing	https://drive.google.com/open?id=1Ei-akWnWrB15KgSudygG6jlkFJKdphvE	https://drive.google.com/open?id=1JNDxncyVQMpXyE2BFAnkyEoinL1KzGOR	https://drive.google.com/open?id=1JNDxncyVQMpXyE2BFAnkyEoinL1KzGOR	SP-00001065.jpg	SP-00001065_1.jpg	SP-00001065_2.jpg	SP-00001065_3.jpg	SP-00001065_4.jpg	SP-00001065_5.jpg	SP-00001065_6.jpg			https://drive.google.com/file/d/1icNmqoI6-78q8uUFrxUb0pxHyPLcFIzq/view?usp=share_link	https://drive.google.com/file/d/1wWAkv5Hrw-gFSSBbAQpSBrcGnncpSGEY/view?usp=share_link	https://drive.google.com/file/d/1pyIMWrKpzdGvoD5QnvfoPV77GkwwRtAl/view?usp=share_link	https://drive.google.com/file/d/1h0F-kNBJ49jBV1q2UVJRr4ZM1bAUwAm1/view?usp=share_link	https://drive.google.com/file/d/1lr6bt5mJH8O0WImNKER5v0p5tbxWjWD-/view?usp=share_link	https://drive.google.com/file/d/1FAVpYs-B2CY-DZ4KEyfZa2bv_sbwCFi8/view?usp=share_link	https://drive.google.com/file/d/1k3uyFvE4RcCQu8T246oTlpYDvP2yfneC/view?usp=share_link		
Раковины над стиральной машиной	Stella Polar	Раковина над стиральной машиной Солярис 60*60, белый мрамор	SP-00001405	20,1	0,050	1	Солярис	раковина	До 470	8750	руб	12650	руб	59,9	59,7	10,3	на стену	да, возможна	нет, не возможна	нет, не возможна	нет, не возможна	нет	нет	с 1 отверстием	искусственный мрамор	1 чаша	да	квадратная	 современный стиль (Hi-Tech)	белый мрамор	48	Россия	нет		по центру	SP-00001405	4680188831984	Раковина в ванную комнату для установки над стиральной машинкой. Крепится на кронштейны, которые входят в комплект поставки. Верхний слой высококачественного гелькоута образует декоративно-защитное покрытие.  	https://drive.google.com/drive/folders/1yHUMduYwqVpVQ_v6uc_pFAgIshqj_8Zf?usp=sharing	https://drive.google.com/open?id=1Ei-akWnWrB15KgSudygG6jlkFJKdphvE	https://drive.google.com/open?id=1JNDxncyVQMpXyE2BFAnkyEoinL1KzGOR	https://drive.google.com/open?id=1JNDxncyVQMpXyE2BFAnkyEoinL1KzGOR	SP-00001405.jpg	SP-00001405_1.jpg	SP-00001405_2.jpg	SP-00001405_3.jpg	SP-00001405_4.jpg					https://drive.google.com/file/d/1Q6PVm6-RnR440q_-glH5wmwij498F32o/view?usp=share_link	https://drive.google.com/file/d/1A09h6_n-_22lY2z404GkvOZ0h2S-X20H/view?usp=share_link	https://drive.google.com/file/d/1P5RfDTBX6RV7MzDwWIu1iCSLW8jsEr5v/view?usp=share_link	https://drive.google.com/file/d/1g_IvNFE564ek1m6WKS5mSMbI9WCckmJW/view?usp=share_link	https://drive.google.com/file/d/1czknMJBHSbHjXS1MylIzCid2LVS3XvEL/view?usp=share_link				
Раковины над стиральной машиной	Stella Polar	Раковина над стиральной машиной Солярис 60*60, серая	SP-00001066	20,1	0,050	1	Солярис	раковина	До 470	7120	руб	10290	руб	59,9	59,7	10,3	на стену	да, возможна	нет, не возможна	нет, не возможна	нет, не возможна	нет	нет	с 1 отверстием	искусственный мрамор	1 чаша	да	квадратная	 современный стиль (Hi-Tech)	серый	48	Россия	нет		по центру	SP-00001066	4680188831991	Раковина в ванную комнату для установки над стиральной машинкой. Крепится на кронштейны, которые входят в комплект поставки. Верхний слой высококачественного гелькоута образует декоративно-защитное покрытие.  	https://drive.google.com/drive/folders/1vd3COQgJMPm5um3-4mQqvCEjGTPXc5Qz?usp=sharing	https://drive.google.com/open?id=1Ei-akWnWrB15KgSudygG6jlkFJKdphvE	https://drive.google.com/open?id=1JNDxncyVQMpXyE2BFAnkyEoinL1KzGOR	https://drive.google.com/open?id=1JNDxncyVQMpXyE2BFAnkyEoinL1KzGOR	SP-00001066.jpg	SP-00001066_1.jpg	SP-00001066_2.jpg	SP-00001066_3.jpg	SP-00001066_4.jpg	SP-00001066_5.jpg	SP-00001066_6.jpg	SP-00001066_7.jpg	SP-00001066_8.jpg	https://drive.google.com/file/d/1QTS4rtgDWTLRvYOtJqiWZiC4V2Q0IQKU/view?usp=share_link	https://drive.google.com/file/d/1jb6uGq_vaFrPaWMkOVYpqTH41klmr3xM/view?usp=share_link	https://drive.google.com/file/d/1V-mXr0z7dgqr4Wr4xSXdhWKMDsgO1kv0/view?usp=share_link	https://drive.google.com/file/d/1bk0Q0b87OG_xasIWozTIyfsew0lavMpm/view?usp=share_link	https://drive.google.com/file/d/150BEGr_f77kykyILXUgIwC34JN9k5204/view?usp=share_link	https://drive.google.com/file/d/1WrjzFxNx7fOwAgGhj4u9FqKjHmelC4Fw/view?usp=share_link	https://drive.google.com/file/d/1-d3OYUnq9I0ZRHoRTLj-_1pwLzyMUTUa/view?usp=share_link	https://drive.google.com/file/d/1fxb0NculhV1NKRbEChvKljnP4ACETOKU/view?usp=share_link	https://drive.google.com/file/d/1sRrbUHMdRgGqDS5x1h0MIDMRoh3N_FP3/view?usp=share_link
